FID,Soil_Salin,sel_no,lat,lon,b1_Band,b2_Band,b3_Band,b4_Band,b5_Band,b6_Band,b7_Band,b8_Band,b9_Band,b1_ReBand,b2_ReBand,b3_ReBand,b4_ReBand,b5_ReBand,b6_ReBand,b7_ReBand,b8_ReBand,b9_ReBand
0,3.97,78,22.50372,89.11397,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.079180002,0.107821003,0.111368999,0.157706007,0.200441003,0.164554,-0.199998006,-0.200002,-0.199999005
1,2.01,79,22.504143,89.113941,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.079839997,0.108165003,0.111561,0.165722996,0.209159002,0.173133999,-0.199998006,-0.200002,-0.199999005
2,1,80,22.504583,89.113935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.078753702,0.102802999,0.099626303,0.149400994,0.136915997,0.101729997,-0.199998006,-0.199999005,-0.199998006
3,3.77,82,22.503483,89.113472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.079647496,0.107821003,0.110914998,0.156069994,0.190651,0.154625997,-0.199998006,-0.200001001,-0.199999005
4,2.56,83,22.503918,89.113495,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
5,1.92,84,22.504302,89.1135,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
6,2.48,85,22.504597,89.113582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.082356296,0.104438998,0.102609999,0.148934007,0.139487997,0.108055003,-0.199998006,-0.200000003,-0.199999005
7,3.74,86,22.503574,89.111895,0.073954999,0.097632498,0.092201203,0.103160001,0.066502497,0.049095001,-0.199999005,-0.199998006,-0.199999005,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
8,2.47,87,22.503881,89.111912,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
9,3.24,88,22.50431,89.111995,0.071672499,0.098416202,0.097577497,0.130797997,0.129711002,0.094360001,-0.199999005,-0.200000003,-0.199998006,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
