OBJECTID,Soil_Salin,sel_no,lat,lon,RASTERVALU,b1_BandDN_Landsat,b2_BandDN_Landsat,b3_BandDN_Landsat,b4_BandDN_Landsat,b5_BandDN_Landsat,b6_BandDN_Landsat,b7_BandDN_Landsat,b8_BandDN_Landsat,b9_BandDN_Landsat
1,3.97,78,22.50372,89.11397,0,9890,10739,10651,11815,12292,11411,0.051811628,-0.083167948,0.03716829
2,2.01,79,22.504143,89.113941,0,9840,10681,10540,11743,11235,10367,0.053987343,-0.016744809,0.040181465
3,1,80,22.504583,89.113935,2,9739,10570,10320,10856,9244,8617,0.025311673,0.051102601,0.035104416
4,3.77,82,22.503483,89.113472,2,9886,10731,10646,11598,11692,10848,0.042798057,-0.073862195,0.037444543
5,2.56,83,22.503918,89.113495,0,9968,10820,10732,11860,12234,11474,0.049929179,-0.087084182,0.032056689
6,1.92,84,22.504302,89.1135,0,9953,10791,10650,11754,11613,10926,0.049276914,-0.06502413,0.0304805
7,2.48,85,22.504597,89.113582,2,9784,10632,10373,10790,9292,8576,0.0197042,0.028094154,0.040071636
8,3.74,86,22.503574,89.111895,2,9599,10454,10188,10568,9151,8466,0.01830796,0.057528444,0.029223882
9,2.47,87,22.503881,89.111912,2,9743,10661,10497,11308,10630,9770,0.037193306,-0.064315498,0.042156864
10,3.24,88,22.50431,89.111995,2,9702,10616,10477,11163,9979,9169,0.031700555,-0.041085705,0.042302068
11,3.43,89,22.503391,89.111009,2,9629,10561,10356,11040,9947,9064,0.031968594,-0.024600577,0.046446793
12,2.53,90,22.50403,89.111073,2,9772,10707,10543,11401,10420,9427,0.039099526,-0.038718861,0.05003275
13,3.16,91,22.504458,89.111147,2,9815,10809,10652,11535,10485,9505,0.039798081,-0.036932319,0.049024511
14,3.66,92,22.504461,89.110537,2,9670,10643,10428,11283,10002,9134,0.03938096,0.053655293,0.045359533
15,2.18,81,22.503132,89.1135,2,9841,10752,10598,11272,11207,10562,0.030818474,-0.06125107,0.02962929
16,3.35,2,22.487633,89.02095,0,9884,11025,11204,13389,13198,12261,0.088846423,-0.037628032,0.036804274
17,5.18,3,22.487486,89.021254,1,9731,10788,10832,12476,11855,10469,0.070533723,0.025522996,0.036508705
18,5.89,6,22.487983,89.020367,0,9281,10562,10452,14295,13221,12231,0.109834641,0.013829787,0.038896747
19,5.43,7,22.4884,89.020267,0,9882,11158,11490,14226,13227,12245,0.106392905,-0.060214698,0.038552135
20,5.29,8,22.489183,89.02025,0,9976,11147,11297,13762,13288,12399,0.098367855,-0.044570953,0.034608945
21,4.15,9,22.489933,89.02025,0,10071,11210,11283,13563,13246,12350,0.091765277,-0.036513463,0.021707164
22,5.01,10,22.490733,89.021217,0,9788,11050,11262,14151,13418,12318,0.113481261,-0.009934933,0.042741686
23,5.51,13,22.49148,89.021277,0,10072,11096,11239,13542,12459,11549,0.092934102,-0.012901815,0.037904032
24,3.65,14,22.491107,89.021239,0,9560,10916,11036,13545,13184,12124,0.102070704,0.001812063,0.04188399
25,3.98,1,22.487061,89.020898,0,9900,10976,10759,15931,13696,12209,0.118424281,0.060123108,0.037143614
26,6.8,4,22.487045,89.021201,0,10366,11449,11747,14956,13928,12914,0.108353153,-0.043795153,0.037776619
27,0.88,5,22.486679,89.021131,0,10297,11442,11832,15360,14108,13073,0.108844928,-0.043556772,0.03807807
28,3.86,11,22.486854,89.022794,0,9667,10901,11070,13428,13596,12644,0.076323733,-0.049782403,0.036280487
29,4.73,12,22.48631,89.022789,0,10057,11166,11384,14083,13829,12899,0.088106744,-0.022556912,0.034794971
30,5.37,15,22.48512,89.023521,0,9839,10919,10990,13097,12813,11390,0.08747457,0.010961019,0.041403238
31,1.59,16,22.484656,89.023514,0,10330,11327,11609,14337,13858,12821,0.098059282,-0.043913174,0.038869523
32,3.55,17,22.483882,89.023299,2,9797,10902,10976,13048,12918,11232,0.086247087,0.005006547,0.043814234
33,3.04,18,22.484214,89.023335,0,10071,11017,10996,13731,13690,12460,0.098509736,-0.005576477,0.038773809
34,2.61,19,22.483903,89.022631,2,9842,11053,11101,13671,13852,12817,0.103260681,-0.029392971,0.038809106
35,2.13,20,22.4843,89.022606,0,10026,11155,11354,14733,14251,13048,0.11187958,-0.03345798,0.044067547
36,3.04,21,22.483744,89.022378,0,9357,10446,10291,11405,9465,8681,0.05134587,0.092956394,0.03682328
37,2.59,22,22.483758,89.021753,0,9531,10562,10369,14143,13034,11055,0.116838254,0.040806565,0.044273041
38,2.81,23,22.483267,89.020994,0,10348,11384,11652,14301,13960,12821,0.102069125,-0.046917696,0.042530153
39,1.54,24,22.483335,89.020514,0,10045,11257,11532,14644,14216,13089,0.118887529,-0.052382953,0.041274492
