"","Name","EC","EC_all","EC_bin","EC_cat","Blue_R","Green_R","Red_R","NIR_R","SWIR1_R","SWIR2_R","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"1",78,3970,3970,1,2,0.071975,0.0953225,0.0929025,0.1249125,0.13803,0.1138025,-0.0128569531146233,-0.134356482847867,0.0962048186790824,-0.146959575786791,0.133106173833147,0.0941047212218919,0.0817719844292653,0.121741283865299,0.774736955410242,0.3587325,-0.89843,-0.12692756743643,-0.139556777596796,-0.268871817662371,-0.314540129996905,-0.225148362961069,-0.195414244422071,-0.101110277932319,-0.183017109308878,-0.0883682008368201,-0.049887332781882,0.0465408541566303
"2",79,2010,2010,1,1,0.0706,0.0937275,0.08985,0.1229325,0.1089625,0.0850925,-0.0211218695101526,-0.134796455275547,0.123006364175105,-0.155475661767298,0.129837847934452,0.0917682727035875,0.0796455271813804,0.117846791229895,0.785754034501948,0.35225625,-0.8764575,-0.119975070115301,-0.140740289969725,-0.270406779223128,-0.213644274277759,-0.0930841241549851,-0.0961332914177933,0.0271946496706059,-0.0751640436133997,0.0482887820154345,0.0602427822937104,0.181901213796419
"5",83,2560,2560,1,1,0.07412,0.09755,0.09513,0.12615,0.136435,0.115535,-0.0125596844509032,-0.127849798837729,0.082946382505854,-0.140184381778742,0.136256080231306,0.0963324010912216,0.0839704448005368,0.123020497180933,0.779144328813203,0.36294,-0.9113,-0.124135893648449,-0.136482786742005,-0.259799270984171,-0.295955926005082,-0.218370198518362,-0.17837324293395,-0.0968599435122114,-0.166185866615381,-0.0844029377947766,-0.0391682693223148,0.04392080600782
"6",84,1920,1920,1,1,0.0737075,0.0967525,0.092875,0.123235,0.1193575,0.100465,-0.0204479835466904,-0.120381839877266,0.085944341457312,-0.140484012771274,0.134114920427408,0.094793926163547,0.0827380448312625,0.118296174517454,0.793620457604307,0.354525,-0.887045,-0.115063106868969,-0.135193007157105,-0.251482031557434,-0.236448864372103,-0.153626433564426,-0.124780606174832,-0.0392572669907936,-0.104599509509046,-0.0188243943869079,0.0159835938868678,0.101788109074653
"16",2,3350,3350,1,2,0.07181,0.1031875,0.10811,0.1681975,0.162945,0.1371775,0.0232965368733657,-0.239548980231037,0.0858566085515081,-0.217466047790958,0.149450434111949,0.105620076808342,0.0881100397230645,0.17622126444579,0.664230875959671,0.47454875,-1.1751625,-0.2017563361494,-0.179302561465164,-0.401602033269794,-0.388213243594386,-0.312781864944076,-0.202302115806755,-0.118503796565255,-0.224540407503781,-0.141409939051027,0.015861751360819,0.101580024559967
"17",3,5180,5180,1,2,0.0676025,0.09667,0.09788,0.14309,0.1260125,0.0878975,0.00621948085325132,-0.19361027694361,0.178182413164415,-0.187616715773748,0.137570284945551,0.0972731185888476,0.0813445308548768,0.1448810303093,0.690667143440948,0.406665,-1.01151,-0.182964966084027,-0.176946841376371,-0.3582828055104,-0.301681171396844,-0.130514469453376,-0.125651819511596,0.0537336329749297,-0.13176832485714,0.0475300364365338,0.0634609488949377,0.238941501163483
"18",6,5890,5890,1,2,0.0552275,0.090455,0.08743,0.1931125,0.1635775,0.1363525,-0.0170053686370408,-0.36202138820563,0.0907711799419865,-0.376707628968873,0.125801875681565,0.0889296387600894,0.069487699091278,0.186654423470234,0.631676769987418,0.52649625,-1.2218025,-0.225732961814135,-0.241810100732758,-0.555226705323347,-0.495189780855099,-0.423452343668441,-0.303367429260082,-0.218616290371231,-0.287847027447275,-0.202363237547259,0.0828029941966414,0.172279301291488
"19",7,5430,5430,1,2,0.071755,0.106845,0.115975,0.191215,0.1637425,0.1367375,0.0409747778475898,-0.28306381265517,0.0898728700745474,-0.244929847976822,0.157689741739912,0.111316435781065,0.0912238243278586,0.207554491319201,0.618710929079543,0.536025,-1.32226,-0.235551057369626,-0.196472564389698,-0.454272350458227,-0.390609242136328,-0.311677878101131,-0.170770509531939,-0.0821585794133651,-0.210273940961796,-0.122720228259419,0.0773965897325736,0.166113995166983
"20",8,5290,5290,1,2,0.07434,0.1065425,0.1106675,0.178455,0.16542,0.1409725,0.0189908383591915,-0.25232677479627,0.079791443981168,-0.234459441932053,0.153618357830371,0.108585413931844,0.0907029324222762,0.185364232231269,0.671741929654144,0.50147125,-1.2325275,-0.196356904449819,-0.178029936561027,-0.411855456001899,-0.37987987987988,-0.309468795355588,-0.198315751346946,-0.120429979335559,-0.21649124419727,-0.139102680645618,0.037906215921483,0.117342746006527
"21",9,4150,4150,1,2,0.0769525,0.108275,0.1102825,0.1729825,0.164265,0.139625,0.00918522585589602,-0.230064976045083,0.0810819704498338,-0.221347501456233,0.154550009483177,0.109274140067538,0.0921222778770152,0.176189725756176,0.697776165756126,0.4875975,-1.199775,-0.178011589713462,-0.169102859996491,-0.384219897173265,-0.361965860685896,-0.289376781983355,-0.196623535089556,-0.1174134429739,-0.205437733910619,-0.126462283178701,0.0258489684875351,0.106707292691314
