"","Name","EC","EC_all","EC_bin","EC_cat","Blue","Green","Red","NIR","SWIR1","SWIR2","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"1",78,3970,3970,1,2,0.079180002,0.107821003,0.111368999,0.157706007,0.200441003,0.164554,0.0161868514422478,-0.187871674523808,0.0983219022316314,-0.172208517947594,0.155011040336448,0.109580642338353,0.0939052584446579,0.162895536557724,0.710969863345903,0.449949517,-1.129733024,-0.168927660764802,-0.153159610024556,-0.331492794072106,-0.433661988304491,-0.350275289042355,-0.285661150792719,-0.192753054992708,-0.300458694867508,-0.20829002799497,-0.119322498322686,-0.0212499002397154
"2",79,2010,2010,1,1,0.079839997,0.108165003,0.111561,0.165722996,0.209159002,0.173133999,0.0154555990353131,-0.210151570021876,0.0942340113624,-0.195330407745566,0.155388302632438,0.109849878924298,0.0943770623897407,0.170926109591621,0.715662256523337,0.47008799,-1.170089974,-0.165730604841102,-0.150660918592591,-0.349739176700782,-0.447472155431237,-0.368788901132747,-0.304309058965396,-0.216277065688815,-0.318267756011714,-0.230960634549283,-0.115865809059202,-0.0218705917521343
"3",80,1000,1000,0,0,0.078753702,0.102802999,0.099626303,0.149400994,0.136915997,0.101729997,-0.0156928664408476,-0.184763113564185,0.147440145171681,-0.199876445673343,0.143156756224922,0.101202187366097,0.0885773118683543,0.144784382182714,0.790491061381651,0.4233156365,-1.039530487,-0.117011999186792,-0.132461632468195,-0.309646451458532,-0.269682274652778,-0.127303989929861,-0.15764492862376,-0.0104476194685739,-0.142304108432024,0.00524610708777768,0.043605505060648,0.189825225513485
"4",82,3770,3770,1,2,0.079647496,0.107821003,0.110914998,0.156069994,0.190651,0.154625997,0.0141448823506653,-0.182836821068208,0.104336527811032,-0.169129341921961,0.154685181802479,0.109357058903863,0.0939899029659304,0.160548525711359,0.718094914449712,0.445632484,-1.119282954,-0.164080041899536,-0.150283952505535,-0.324212250860129,-0.410670076388438,-0.320046882128487,-0.264406473305389,-0.164611114001437,-0.277513455759534,-0.178340746893659,-0.0997372717499766,0.00464762031641407
"5",83,2560,2560,1,1,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14140.7214101686,9999,9999,-9999,1,-29997,79992,0,0,0,0,0,0,0,0,0,0,0
"6",84,1920,1920,1,1,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14140.7214101686,9999,9999,-9999,1,-29997,79992,0,0,0,0,0,0,0,0,0,0,0
"7",85,2480,2480,1,1,0.082356296,0.104438998,0.102609999,0.148934007,0.139487997,0.108055003,-0.00883365303141271,-0.175610693017593,0.126979934799207,-0.184158663673346,0.146411461976254,0.103520459235559,0.0919270332938233,0.146325784448219,0.802614723736621,0.423640017,-1.048842034,-0.109499425287185,-0.118218727715913,-0.287853447102795,-0.257530632081665,-0.134964191384462,-0.152326737971016,-0.0258467422130231,-0.143686429622109,-0.0170169745168476,0.0327506565691847,0.159069074588053
"8",86,3740,3740,1,2,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14140.7214101686,9999,9999,-9999,1,-29997,79992,0,0,0,0,0,0,0,0,0,0,0
"9",87,2470,2470,1,1,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14140.7214101686,9999,9999,-9999,1,-29997,79992,0,0,0,0,0,0,0,0,0,0,0
"10",88,3240,3240,1,2,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,14140.7214101686,9999,9999,-9999,1,-29997,79992,0,0,0,0,0,0,0,0,0,0,0
