,Name,EC,pH,Blue_R,Red_R,Green_R,NIR_R,SWIR1_R,SWIR2_R,EC_all,EC_bin,EC_cat,NBR,NBG,NBNIR,NBSWIR1,NBSWIR2,NDVI,NDSI2,NRSWIR1,NRSWIR2,NDWI,NGSWIR1,NGSWIR2,NNIRSWIR1,NNIRSWIR2,NDSI1,SI1,SI2,SI3,SI4,SI5,SAVI,VSSI
1,C-S01_20240213,488,6.04,0.052945,0.0974675,0.0903725,0.2227575,0.2465725,0.179335,488,0,0,-0.296002659,-0.261150941,-0.615926588,-0.646464731,-0.544127777,0.037771508,-0.391256148,-0.433394373,-0.295761418,-0.422779676,-0.463577142,-0.329848076,-0.050742548,0.10799132,0.157868786,0.132917652,0.093852979,0.071836041,0.240245834,0.54320671,0.6056275,-1.42038
2,C-S02_20240213,678.2,6.61,0.05311,0.0967525,0.0879525,0.20612,0.2281475,0.161405,678.2,0,0,-0.291216949,-0.247000443,-0.590248042,-0.62233896,-0.504836492,0.04764354,-0.361100793,-0.404416744,-0.250438201,-0.401831181,-0.443514711,-0.294567037,-0.050723344,0.121665193,0.171331207,0.130754306,0.092247625,0.071683508,0.226743132,0.548926384,0.56367625,-1.3384575
3,C-S03_20240213,504.4,6.72,0.0725525,0.12857,0.10844,0.2469025,0.3093275,0.25254,504.4,0,0,-0.278524282,-0.198281697,-0.54577327,-0.620024615,-0.553650115,0.084933125,-0.315156236,-0.412784955,-0.325286663,-0.389659272,-0.480859569,-0.399191091,-0.112228754,-0.011287586,0.101069202,0.168194764,0.1180768,0.09658196,0.292735655,0.564303492,0.68154125,-1.6604825
4,C-S04_20240213,370,6.52,0.0499475,0.089465,0.086935,0.21613,0.2117575,0.1639625,370,0,0,-0.283457366,-0.270213504,-0.624564272,-0.618291588,-0.533004535,0.014342404,-0.414486494,-0.405987269,-0.293959811,-0.426294689,-0.417896332,-0.307007842,0.010218808,0.137249485,0.127209092,0.124746465,0.088190928,0.066847237,0.222419859,0.558290952,0.5850575,-1.354105
5,C-S05_20240213,515.2,5.6,0.041835,0.076485,0.076155,0.20788,0.2324375,0.1492775,515.2,0,0,-0.292849899,-0.290872108,-0.664938029,-0.694938428,-0.562195042,0.00216195,-0.4620646,-0.504827263,-0.322429544,-0.463763269,-0.506436482,-0.324365387,-0.055772255,0.164080273,0.217858874,0.107933031,0.076319822,0.056566333,0.2087808,0.546969994,0.5579425,-1.269515
6,C-S06_20240213,891.1,5.85,0.0572625,0.099035,0.0915,0.2217675,0.2561975,0.1748525,891.1,0,0,-0.267262752,-0.230148727,-0.589560262,-0.634642379,-0.506602331,0.03954654,-0.382579625,-0.442421513,-0.276819862,-0.41583471,-0.473680426,-0.312940558,-0.072034563,0.118287025,0.188713606,0.134833902,0.095192975,0.075305987,0.240029993,0.578204675,0.60393625,-1.4210125
7,C-S07_20240213,98.1,5.48,0.04112,0.063395,0.07005,0.1987775,0.1589025,0.1035725,98.1,0,0,-0.213127302,-0.260232077,-0.657186924,-0.588846255,-0.431622233,-0.049870733,-0.516387112,-0.42963821,-0.240630662,-0.47884796,-0.388082681,-0.193076934,0.111482331,0.314883413,0.210801029,0.094477132,0.066639476,0.051056855,0.179892928,0.648631596,0.52864125,-1.1707625
8,C-S08_20240213,177.3,5.31,0.0508,0.09744,0.0900425,0.2098875,0.2509725,0.1884375,177.3,0,0,-0.314624933,-0.278626835,-0.610261328,-0.663322536,-0.575317415,0.039457016,-0.365888181,-0.440663007,-0.318309416,-0.399576568,-0.471914725,-0.353328785,-0.089148548,0.053850499,0.142315833,0.132673303,0.093668251,0.070355895,0.227130944,0.52134647,0.57343875,-1.3565525
9,C-S09_20240213,283.9,5.79,0.0613325,0.1031325,0.0993925,0.248745,0.2734675,0.1841475,283.9,0,0,-0.25415742,-0.236801991,-0.60440535,-0.633617085,-0.500305524,0.018466856,-0.413815888,-0.452296867,-0.282007101,-0.429004345,-0.466864239,-0.29891726,-0.047341839,0.14922296,0.19518591,0.143231217,0.101245232,0.07953222,0.258104925,0.594696143,0.67342875,-1.5606025
10,C-S10_20240214,139.5,6.09,0.041945,0.0714525,0.0782725,0.2348575,0.182745,0.122355,139.5,0,0,-0.260212968,-0.302181463,-0.696931928,-0.62664115,-0.489409617,-0.045550175,-0.533462832,-0.437819019,-0.262644634,-0.500063871,-0.400250941,-0.219723119,0.124789722,0.314945586,0.197935103,0.105981338,0.074784797,0.054745549,0.214394015,0.587033344,0.62287,-1.375005
11,C-S11_20240214,417.2,6.01,0.041945,0.0714525,0.0782725,0.2348575,0.182745,0.122355,417.2,0,0,-0.260212968,-0.302181463,-0.696931928,-0.62664115,-0.489409617,-0.045550175,-0.533462832,-0.437819019,-0.262644634,-0.500063871,-0.400250941,-0.219723119,0.124789722,0.314945586,0.197935103,0.105981338,0.074784797,0.054745549,0.214394015,0.587033344,0.62287,-1.375005
12,C-S12_20240214,478.7,6.05,0.0450525,0.0827,0.080775,0.2290825,0.231365,0.16135,478.7,0,0,-0.294690906,-0.283900578,-0.67131158,-0.674025704,-0.563450055,0.011775501,-0.469501977,-0.473357426,-0.322270027,-0.478631306,-0.482443775,-0.332782654,-0.004957134,0.173480691,0.178284507,0.115602295,0.081731833,0.061039674,0.23454191,0.544770254,0.61405625,-1.3973625
13,C-S13_20240214,181.8,6.07,0.0591325,0.10536,0.0940025,0.20667,0.260845,0.2081,181.8,0,0,-0.28103105,-0.227707578,-0.555064381,-0.630395887,-0.557445296,0.056969089,-0.324680319,-0.424584591,-0.327761118,-0.37471834,-0.470180852,-0.377678106,-0.115878635,-0.003447694,0.112475877,0.141199149,0.099519362,0.078931617,0.231640129,0.561242407,0.569355,-1.372145
14,C-S14_20240214,513,6.42,0.05718,0.10492,0.09359,0.23637,0.2261125,0.15981,513,0,0,-0.294509562,-0.241493666,-0.610424119,-0.596318293,-0.472971105,0.05707521,-0.385156319,-0.366104537,-0.207343331,-0.432719117,-0.414518185,-0.261325967,0.022179218,0.193245494,0.171802629,0.140596211,0.099093203,0.077455314,0.264984939,0.544986657,0.643385,-1.51927
