"feature","importance.05","importance","importance.95","permutation.error"
"SWIR2_R",2.46666666666667,2.88888888888889,3.11111111111111,0.305882352941176
"NDWI",1.82222222222222,2.33333333333333,2.44444444444444,0.247058823529412
"NDSI2",1.82222222222222,2.11111111111111,2.2,0.223529411764706
"SI4",1.6,2,2.08888888888889,0.211764705882353
"NBNIR",1.02222222222222,2,2.35555555555556,0.211764705882353
"SWIR1_R",1.35555555555556,1.66666666666667,2.33333333333333,0.176470588235294
"NNIRSWIR1",1.55555555555556,1.66666666666667,1.95555555555556,0.176470588235294
"NDSI1",1.24444444444444,1.44444444444444,1.91111111111111,0.152941176470588
"SAVI",1.22222222222222,1.33333333333333,1.33333333333333,0.141176470588235
"Green_R",1.13333333333333,1.22222222222222,1.51111111111111,0.129411764705882
"NIR_R",1.02222222222222,1.22222222222222,1.31111111111111,0.129411764705882
"SI2",1.04444444444444,1.22222222222222,1.31111111111111,0.129411764705882
"NGSWIR1",1.02222222222222,1.22222222222222,1.31111111111111,0.129411764705882
"SI1",1.02222222222222,1.11111111111111,1.2,0.117647058823529
"VSSI",1.11111111111111,1.11111111111111,1.31111111111111,0.117647058823529
"NRSWIR1",0.911111111111111,1.11111111111111,1.11111111111111,0.117647058823529
"NRSWIR2",1,1.11111111111111,1.11111111111111,0.117647058823529
"Blue_R",1,1,1,0.105882352941176
"Red_R",1,1,1,0.105882352941176
"NDVI",0.888888888888889,1,1.17777777777778,0.105882352941176
"SI3",1,1,1,0.105882352941176
"SI5",0.888888888888889,1,1,0.105882352941176
"NBR",1,1,1,0.105882352941176
"NBSWIR1",1,1,1.11111111111111,0.105882352941176
"NBSWIR2",0.911111111111111,1,1.11111111111111,0.105882352941176
"NGSWIR2",1,1,1.11111111111111,0.105882352941176
"NNIRSWIR2",1,1,1,0.105882352941176
"NBG",0.8,0.888888888888889,1.08888888888889,0.0941176470588235
