"feature","importance.05","importance","importance.95","permutation.error"
"SWIR1_R",0.909090909090909,1,1.07272727272727,0.129411764705882
"NDWI",0.745454545454545,1,1,0.129411764705882
"VSSI",0.836363636363636,1,1,0.129411764705882
"NBSWIR2",0.763636363636364,1,1.07272727272727,0.129411764705882
"Blue_R",0.745454545454545,0.909090909090909,0.909090909090909,0.117647058823529
"NIR_R",0.836363636363636,0.909090909090909,0.909090909090909,0.117647058823529
"SI3",0.836363636363636,0.909090909090909,0.981818181818182,0.117647058823529
"SI4",0.818181818181818,0.909090909090909,0.909090909090909,0.117647058823529
"SI5",0.909090909090909,0.909090909090909,1,0.117647058823529
"SAVI",0.745454545454545,0.909090909090909,0.909090909090909,0.117647058823529
"NBR",0.909090909090909,0.909090909090909,1,0.117647058823529
"NRSWIR2",0.909090909090909,0.909090909090909,1.07272727272727,0.117647058823529
"NGSWIR1",0.836363636363636,0.909090909090909,0.909090909090909,0.117647058823529
"NGSWIR2",0.836363636363636,0.909090909090909,0.981818181818182,0.117647058823529
"NNIRSWIR2",0.836363636363636,0.909090909090909,1.07272727272727,0.117647058823529
"Green_R",0.727272727272727,0.818181818181818,0.909090909090909,0.105882352941176
"Red_R",0.654545454545454,0.818181818181818,0.909090909090909,0.105882352941176
"SWIR2_R",0.818181818181818,0.818181818181818,0.981818181818182,0.105882352941176
"NDVI",0.745454545454545,0.818181818181818,0.890909090909091,0.105882352941176
"NDSI1",0.818181818181818,0.818181818181818,0.909090909090909,0.105882352941176
"SI1",0.818181818181818,0.818181818181818,0.909090909090909,0.105882352941176
"SI2",0.654545454545454,0.818181818181818,0.890909090909091,0.105882352941176
"NBNIR",0.745454545454545,0.818181818181818,0.890909090909091,0.105882352941176
"NBSWIR1",0.654545454545454,0.818181818181818,0.909090909090909,0.105882352941176
"NRSWIR1",0.636363636363636,0.818181818181818,0.981818181818182,0.105882352941176
"NNIRSWIR1",0.654545454545454,0.818181818181818,0.909090909090909,0.105882352941176
"NDSI2",0.654545454545454,0.727272727272727,0.963636363636364,0.0941176470588235
"NBG",0.654545454545454,0.727272727272727,0.818181818181818,0.0941176470588235
