"feature","importance.05","importance","importance.95","permutation.error"
"NDWI",3.4,3.8,4.64,0.223529411764706
"NNIRSWIR1",3.28,3.6,4.12,0.211764705882353
"SWIR2_R",2.64,3,3.2,0.176470588235294
"NNIRSWIR2",2.4,2.8,3.16,0.164705882352941
"VSSI",2.44,2.6,3.44,0.152941176470588
"SWIR1_R",2.08,2.4,3.28,0.141176470588235
"NDSI2",1.88,2.4,2.4,0.141176470588235
"SAVI",1.32,2,2.48,0.117647058823529
"NGSWIR2",1.2,2,2.16,0.117647058823529
"NBSWIR1",1.28,1.8,2.48,0.105882352941176
"NBSWIR2",1.44,1.8,2,0.105882352941176
"NRSWIR2",1.64,1.8,2.16,0.105882352941176
"NDVI",1.44,1.6,1.96,0.0941176470588235
"NDSI1",1.44,1.6,2.4,0.0941176470588235
"NBR",1.4,1.6,1.76,0.0941176470588235
"NRSWIR1",1.4,1.4,1.96,0.0823529411764706
"NGSWIR1",1.24,1.4,1.88,0.0823529411764706
"Green_R",1.2,1.2,1.52,0.0705882352941176
"Red_R",1.04,1.2,1.36,0.0705882352941176
"NIR_R",1.2,1.2,1.4,0.0705882352941176
"SI5",1,1.2,1.4,0.0705882352941176
"NBG",1.04,1.2,1.56,0.0705882352941176
"NBNIR",1.2,1.2,1.56,0.0705882352941176
"Blue_R",1,1,1,0.0588235294117647
"SI1",1,1,1.16,0.0588235294117647
"SI2",1,1,1,0.0588235294117647
"SI3",1,1,1,0.0588235294117647
"SI4",1,1,1.32,0.0588235294117647
