"feature","importance.05","importance","importance.95","permutation.error"
"Blue_R",0,0,0,0
"Green_R",0,0,0,0
"Red_R",0,0,0,0
"NIR_R",0,0,0,0
"SWIR1_R",0,0,0,0
"SWIR2_R",0,0,0,0
"NDVI",0,0,0,0
"NDWI",0,0,0,0
"NDSI1",0,0,0,0
"NDSI2",0,0,0,0
"SI1",0,0,0,0
"SI2",0,0,0,0
"SI3",0,0,0,0
"SI4",0,0,0,0
"SI5",0,0,0,0
"SAVI",0,0,0,0
"VSSI",0,0,0,0
"NBR",0,0,0,0
"NBG",0,0,0,0
"NBNIR",0,0,0,0
"NBSWIR1",0,0,0,0
"NBSWIR2",0,0,0,0
"NRSWIR1",0,0,0,0
"NRSWIR2",0,0,0,0
"NGSWIR1",0,0,0,0
"NGSWIR2",0,0,0,0
"NNIRSWIR1",0,0,0,0
"NNIRSWIR2",0,0,0,0
