"feature","importance.05","importance","importance.95","permutation.error"
"NDWI",2.36666666666667,2.66666666666667,2.8,0.376470588235294
"Blue_R",1,1,1,0.141176470588235
"Green_R",1,1,1,0.141176470588235
"Red_R",1,1,1,0.141176470588235
"NIR_R",1,1,1,0.141176470588235
"SWIR1_R",1,1,1,0.141176470588235
"SWIR2_R",1,1,1,0.141176470588235
"NDVI",1,1,1,0.141176470588235
"NDSI1",1,1,1,0.141176470588235
"NDSI2",1,1,1,0.141176470588235
"SI1",1,1,1,0.141176470588235
"SI2",1,1,1,0.141176470588235
"SI3",1,1,1,0.141176470588235
"SI4",1,1,1,0.141176470588235
"SI5",1,1,1,0.141176470588235
"SAVI",1,1,1,0.141176470588235
"VSSI",1,1,1,0.141176470588235
"NBR",1,1,1,0.141176470588235
"NBG",1,1,1,0.141176470588235
"NBNIR",1,1,1,0.141176470588235
"NBSWIR1",1,1,1,0.141176470588235
"NBSWIR2",1,1,1,0.141176470588235
"NRSWIR1",1,1,1,0.141176470588235
"NRSWIR2",1,1,1,0.141176470588235
"NGSWIR1",1,1,1,0.141176470588235
"NGSWIR2",1,1,1,0.141176470588235
"NNIRSWIR1",1,1,1,0.141176470588235
"NNIRSWIR2",1,1,1,0.141176470588235
