"feature","importance.05","importance","importance.95","permutation.error"
"NIR_R",1,1.11111111111111,1.11111111111111,0.117647058823529
"Blue_R",0.888888888888889,1,1,0.105882352941176
"Green_R",1,1,1,0.105882352941176
"Red_R",1,1,1,0.105882352941176
"NDVI",1,1,1,0.105882352941176
"NDWI",0.8,1,1.08888888888889,0.105882352941176
"NDSI1",0.8,1,1.2,0.105882352941176
"NDSI2",0.822222222222222,1,1.11111111111111,0.105882352941176
"SI1",1,1,1,0.105882352941176
"SI2",1,1,1,0.105882352941176
"SI3",1,1,1,0.105882352941176
"SAVI",1,1,1.11111111111111,0.105882352941176
"VSSI",0.911111111111111,1,1.08888888888889,0.105882352941176
"NBG",0.888888888888889,1,1,0.105882352941176
"NBNIR",0.911111111111111,1,1,0.105882352941176
"NBSWIR1",0.888888888888889,1,1.08888888888889,0.105882352941176
"NRSWIR2",0.888888888888889,1,1,0.105882352941176
"NGSWIR1",0.888888888888889,1,1.08888888888889,0.105882352941176
"NGSWIR2",0.888888888888889,1,1.08888888888889,0.105882352941176
"NNIRSWIR1",1,1,1,0.105882352941176
"NNIRSWIR2",1,1,1.11111111111111,0.105882352941176
"SWIR1_R",0.8,0.888888888888889,0.977777777777778,0.0941176470588235
"SWIR2_R",0.888888888888889,0.888888888888889,0.888888888888889,0.0941176470588235
"SI5",0.8,0.888888888888889,1.17777777777778,0.0941176470588235
"NBSWIR2",0.777777777777778,0.888888888888889,1,0.0941176470588235
"NRSWIR1",0.8,0.888888888888889,1,0.0941176470588235
"SI4",0.688888888888889,0.777777777777778,0.888888888888889,0.0823529411764706
"NBR",0.777777777777778,0.777777777777778,1,0.0823529411764706
