"feature","importance.05","importance","importance.95","permutation.error"
"NBNIR",4.6,7,8,0.0823529411764706
"NRSWIR1",4,6,6,0.0705882352941176
"NDSI1",3,4,5.8,0.0470588235294118
"NBSWIR1",4,4,5,0.0470588235294118
"NGSWIR1",3.2,4,4,0.0470588235294118
"NGSWIR2",3.2,4,6,0.0470588235294118
"NDWI",1.2,3,3,0.0352941176470588
"NBSWIR2",2,3,3,0.0352941176470588
"NRSWIR2",2,3,3,0.0352941176470588
"NIR_R",1.2,2,2.8,0.0235294117647059
"SWIR1_R",1.2,2,3,0.0235294117647059
"NDSI2",2,2,2.8,0.0235294117647059
"SI4",1.2,2,3.8,0.0235294117647059
"SI5",1.2,2,3,0.0235294117647059
"SAVI",2,2,3,0.0235294117647059
"Blue_R",1,1,1.8,0.0117647058823529
"Green_R",1,1,1,0.0117647058823529
"Red_R",1,1,1,0.0117647058823529
"SWIR2_R",0.2,1,2,0.0117647058823529
"NDVI",1,1,1,0.0117647058823529
"SI1",1,1,1,0.0117647058823529
"SI2",1,1,1,0.0117647058823529
"SI3",1,1,1,0.0117647058823529
"VSSI",1,1,1,0.0117647058823529
"NBR",1,1,1,0.0117647058823529
"NBG",1,1,1,0.0117647058823529
"NNIRSWIR1",1,1,1,0.0117647058823529
"NNIRSWIR2",1,1,1,0.0117647058823529
