"","EC","pH","Soil_Moisture_Lab","Blue_R","Red_R","Green_R","NIR_R","SWIR1_R","SWIR2_R","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NDVI","NDSI2","NRSWIR1","NRSWIR2","NDWI","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2","NDSI1","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI"
"EC",1,0.198978137706962,0.485468133996885,0.225035626062215,0.331128552270009,0.32349013251804,-0.472965947504371,-0.0226305887056204,0.0687780143253657,-0.280156956850499,0.0705947799465471,0.456948342159626,0.30413371271084,0.075963167913127,0.280162874565328,0.521648420738535,0.432435087358793,0.212705641240094,0.571654586306923,0.201087967138451,0.0220628880252293,-0.30086613913697,-0.3126327722613,-0.297070644678559,0.330319561642729,0.329590544021524,0.281690852426408,-0.244224883529608,-0.28331684123995,-0.428256759447319,0.271136712190099
"pH",0.198978137706962,1,0.179958036782115,0.00151699807229688,0.0511638246619483,0.0553668637290579,-0.379512512289085,-0.170087209895353,-0.112488527590042,-0.120628836252531,-0.0140115552536759,0.186423567111586,0.27215333337817,0.19286897832752,0.0775607659048496,0.224078592487041,0.320782024300465,0.249758978100423,0.287726233822909,0.236458239120296,0.142828281082538,-0.0651550312675116,-0.0634350798703149,-0.0764902385492868,0.0508060454629216,0.0552312756677798,0.0262904681737574,-0.279906499717998,-0.120598154398136,-0.374412218053955,0.327176006144724
"Soil_Moisture_Lab",0.485468133996885,0.179958036782115,1,-0.289850470934323,-0.174830598655163,-0.139886628071287,-0.317228180786503,-0.437596298429461,-0.415339715677351,-0.310456408845113,-0.432763518305441,-0.0414148294029985,0.243280000329201,0.352795474114273,-0.233071007870833,0.0422410055823753,0.38372871306492,0.500898389429276,0.167928273156654,0.47254255392866,0.469747458624165,0.239955300062653,0.250155920017608,0.257100934044237,-0.161398041662834,-0.163758337404069,-0.236774180496468,-0.463868775620983,-0.302217312111912,-0.344178764035274,0.387979457356827
"Blue_R",0.225035626062215,0.00151699807229688,-0.289850470934323,1,0.943543990221401,0.926436635916785,-0.0681364303150109,0.779225670777054,0.86443982032706,0.0859637196997528,0.86472001516505,0.858695349443158,0.18800577645175,-0.333128680791643,0.84877380355382,0.796143031057024,0.139821232095215,-0.369273833286981,0.666775848892051,-0.391404106289664,-0.658839933701246,-0.850404600361911,-0.880286348440157,-0.826141410553184,0.941934363375707,0.941987893533555,0.986055878783924,0.532056197237825,0.0702214592359429,0.066810627107639,-0.414348822839838
"Red_R",0.331128552270009,0.0511638246619483,-0.174830598655163,0.943543990221401,1,0.977982366311022,-0.112310770052205,0.759533418939128,0.858002331774836,-0.236026007760244,0.7009917473768,0.836221556507715,0.136255031027957,-0.397040916694433,0.908769725973439,0.868311460155153,0.248103641703463,-0.290296510508524,0.736775912285223,-0.333405816764277,-0.629776621533339,-0.863047821150978,-0.898437681609682,-0.858298858373783,0.99669885900523,0.997022362144767,0.985478805540822,0.531610789536111,-0.250380221098202,0.0304741443349587,-0.402539032240212
"Green_R",0.32349013251804,0.0553668637290579,-0.139886628071287,0.926436635916785,0.977982366311022,1,-0.0629342989890298,0.70830785580361,0.804424114313147,-0.2140074528646,0.629510292620063,0.804349538142559,0.184690492208141,-0.324283280707847,0.817068577731251,0.829214901645208,0.283788807786926,-0.226285188555564,0.725844713809965,-0.249345173132538,-0.541758882968164,-0.784621336090234,-0.826040862982262,-0.80330944322923,0.991576137786529,0.991033705721967,0.965786098733393,0.50545975030799,-0.228622964540567,0.0769835493596632,-0.430307369870378
"NIR_R",-0.472965947504371,-0.379512512289085,-0.317228180786503,-0.0681364303150109,-0.112310770052205,-0.0629342989890298,1,0.376197055618741,0.21320576860983,0.131587763083679,-0.0813285388418733,-0.549562853677376,-0.707864523175289,-0.499707304309024,-0.183542328871534,-0.57143860423938,-0.746980240085961,-0.568437746159453,-0.71924499170792,-0.559611976358005,-0.329497898773298,0.182002657445061,0.197819782667233,0.211265836653968,-0.0924906530764432,-0.0961278340342378,-0.0905997078501139,0.726724786304118,0.124499445392426,0.989789050100743,-0.863837861639152
"SWIR1_R",-0.0226305887056204,-0.170087209895353,-0.437596298429461,0.779225670777054,0.759533418939128,0.70830785580361,0.376197055618741,1,0.966151781113621,-0.0216088282035491,0.719083396915491,0.454935302936109,-0.453101440054654,-0.796617392059282,0.773450100380077,0.442305702402547,-0.424712330162612,-0.79527795877649,0.216524001291583,-0.844402750631712,-0.933888684194973,-0.827450488404955,-0.808403338843965,-0.669069801234302,0.743254395695051,0.745068344158648,0.780804493774985,0.862374019121309,-0.0390002119718387,0.487369710099016,-0.739572655607937
"SWIR2_R",0.0687780143253657,-0.112488527590042,-0.415339715677351,0.86443982032706,0.858002331774836,0.804424114313147,0.21320576860983,0.966151781113621,1,-0.0591462038105341,0.766132228920336,0.60150942384654,-0.282523151314752,-0.739694976199695,0.849970181787171,0.593873216071995,-0.241881951443584,-0.720097443511641,0.387015082924699,-0.727634213970558,-0.913708813714216,-0.880532584290443,-0.900282522717694,-0.827018623646495,0.841645482459704,0.842855638083158,0.873863167160809,0.77860643248001,-0.0759287272680148,0.337541936339956,-0.638217414188194
"NBR",-0.280156956850499,-0.120628836252531,-0.310456408845113,0.0859637196997528,-0.236026007760244,-0.2140074528646,0.131587763083679,-0.0216088282035491,-0.0591462038105341,1,0.41662644044958,0.00360595075542448,0.175238182888264,0.244902639272133,-0.277361545373939,-0.277520864576213,-0.324719411508527,-0.2028593782323,-0.251833081641338,-0.11656950863581,-0.0174475749051111,0.1213519618884,0.131161996805227,0.154485539136435,-0.227476405284279,-0.230447773478234,-0.0745875290588658,-0.0646691081498515,0.998628946299077,0.0985067527164654,0.000142662815970999
