"","EC","pH","Soil_Moisture_Lab","Blue","Red","Green","NIR","SWIR1","SWIR2","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NDVI","NDSI2","NRSWIR1","NRSWIR2","NDWI","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2","NDSI1","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI"
"EC",1,0.176893754251506,0.403846773140742,0.23503911110662,0.332096159540214,0.315605259331968,-0.511532743295957,-0.0400346896945137,0.0719609692302754,-0.327082980248188,0.0797972222855014,0.4695242539283,0.429393409302132,0.0976297338066765,0.294503100947006,0.520311099790964,0.558600215792817,0.270490173748124,0.580915454302412,0.293499529638036,0.0274284490141915,-0.271749307065151,-0.306014452531492,-0.348746019285313,0.32790429129184,0.326651886300022,0.288931848568233,-0.230798011589584,-0.328578436059416,-0.461899530141152,0.274810289638744
"pH",0.176893754251506,1,0.128541660815689,0.129745544906785,0.16118407836396,0.194856705555518,-0.410227446339856,-0.121421053822622,-0.0358942532586995,-0.109319781250636,0.040257352913708,0.300890759059514,0.409158649013205,0.208219984123586,0.114388219262738,0.310935900043954,0.429617360926496,0.270606207212217,0.3976601756829,0.313533317335658,0.122415782209574,-0.121372915100151,-0.140675069496297,-0.191361450892574,0.173293010703893,0.17593952060395,0.147473614811635,-0.266734346733171,-0.107697589121325,-0.388136240316089,0.290099481001444
"Soil_Moisture_Lab",0.403846773140742,0.128541660815689,1,-0.217995640213871,-0.0763591844558597,-0.0445461567850022,-0.182794355340293,-0.35644263781815,-0.300469087425532,-0.339347047640518,-0.435601898467461,-0.0629635011945396,0.193906832579824,0.271232635184185,-0.184640578180458,0.0286926493007775,0.350996185848323,0.447791801194368,0.116183613257087,0.449387643401671,0.405100479812641,0.227450814869438,0.205507800092596,0.163161638595521,-0.0620779790399131,-0.0672419422858347,-0.147068250265763,-0.332064604525482,-0.337538788592413,-0.197913557269883,0.218396465222713
"Blue",0.23503911110662,0.129745544906785,-0.217995640213871,1,0.946902684267043,0.928954194061591,-0.121039856913065,0.826190766932752,0.888041954663879,-0.111670594427963,0.847349210242823,0.886932643905119,0.220121193841381,-0.419732470332738,0.868387829568628,0.837847788252832,0.259456919538246,-0.364243229612597,0.744249533392028,-0.393843388985602,-0.708596877443701,-0.878356084183328,-0.897593214826211,-0.842270508174464,0.943870169726272,0.944471145883175,0.985889215937473,0.585121530815067,-0.119174739475779,0.0369830776488507,-0.441637660624864
"Red",0.332096159540214,0.16118407836396,-0.0763591844558597,0.946902684267043,1,0.981687891453692,-0.15600701007366,0.788290257422071,0.868328318551224,-0.416055805233656,0.676813401384863,0.865939724592127,0.196399695144035,-0.455213878990724,0.911825938899332,0.902248866176293,0.394353979777942,-0.251459766216449,0.812289229982923,-0.302358243197681,-0.654216948413882,-0.870731844405767,-0.897734727840032,-0.863332752674514,0.997182229216882,0.997533820269922,0.987343621346724,0.586532632687661,-0.421754236042216,0.0105292870767337,-0.440356024264582
"Green",0.315605259331968,0.194856705555518,-0.0445461567850022,0.928954194061591,0.981687891453692,1,-0.0912419149580283,0.739391942312692,0.821342884113245,-0.397247971276493,0.603568050479472,0.823437098403716,0.235586438194221,-0.389399601335207,0.830350416615979,0.858137554242221,0.42154428248585,-0.192324116600182,0.788279418638531,-0.220931766634272,-0.571224931226985,-0.792519791173547,-0.827836641919998,-0.81613410160485,0.993109908307976,0.992525936615659,0.968998683237771,0.572996959049614,-0.402880851285395,0.0730086813593342,-0.482537537621216
"NIR",-0.511532743295957,-0.410227446339856,-0.182794355340293,-0.121039856913065,-0.15600701007366,-0.0912419149580283,1,0.248816760695797,0.0912946020411342,0.124152009314349,-0.168886562705719,-0.548509241882765,-0.684393988030803,-0.375248133523377,-0.24536346003987,-0.546470131090698,-0.684113007851889,-0.445794535939117,-0.672096692577868,-0.469830921775182,-0.178216829654638,0.26117885076006,0.27774037971555,0.298701597540297,-0.130550203375559,-0.133818750028456,-0.140215160669484,0.642786974464223,0.118254771183191,0.98605854966718,-0.817521981251995
"SWIR1",-0.0400346896945137,-0.121421053822622,-0.35644263781815,0.826190766932752,0.788290257422071,0.739391942312692,0.248816760695797,1,0.965984002799333,-0.14761490131961,0.748810896879511,0.574929110544026,-0.355766975220636,-0.807910952348337,0.798655154346203,0.559372059289365,-0.242735166265476,-0.747007454378335,0.382490916595322,-0.809174396882257,-0.934434397182453,-0.857499414995301,-0.838622448501894,-0.706030834764126,0.772573791183511,0.773773260976286,0.817694198942991,0.848057427013252,-0.155704192863781,0.384683549053809,-0.695582286386924
"SWIR2",0.0719609692302754,-0.0358942532586995,-0.300469087425532,0.888041954663879,0.868328318551224,0.821342884113245,0.0912946020411342,0.965984002799333,1,-0.195719945907725,0.765034388043885,0.69301812348721,-0.190172112580487,-0.765580554930767,0.846758813455415,0.682939459201975,-0.0683396144784074,-0.680751170926048,0.532720823643562,-0.680725571934249,-0.913279363651086,-0.896747628534274,-0.915043719756555,-0.847875995903726,0.854149323807835,0.854402701014448,0.889841946994248,0.757265365530727,-0.203025956431685,0.238700935396246,-0.596759703724786
"NBR",-0.327082980248188,-0.109319781250636,-0.339347047640518,-0.111670594427963,-0.416055805233656,-0.397247971276493,0.124152009314349,-0.14761490131961,-0.195719945907725,1,0.260417503162496,-0.177764358634771,0.0845813566642385,0.278423540261577,-0.421112764430115,-0.429356344254016,-0.43784028965642,-0.210989600070592,-0.396465755238294,-0.0925278953185556,0.0788475393341522,0.258888643649976,0.268690920928409,0.282464639621926,-0.409753834479272,-0.411708396159028,-0.27175735352444,-0.208450066973408,0.999189175821937,0.0555946743933646,0.130774082930033
