"feature","importance.05","importance","importance.95","permutation.error"
"SWIR2_R",0.0141176470588235,0.0352941176470588,0.0352941176470588,0.0352941176470588
"NRSWIR1",0.0235294117647059,0.0352941176470588,0.0352941176470588,0.0352941176470588
"NBNIR",0.0117647058823529,0.0235294117647059,0.0235294117647059,0.0235294117647059
"NGSWIR2",0.0141176470588235,0.0235294117647059,0.0329411764705882,0.0235294117647059
"Red_R",0,0.0117647058823529,0.0117647058823529,0.0117647058823529
"NIR_R",0,0.0117647058823529,0.0117647058823529,0.0117647058823529
"SI1",0,0.0117647058823529,0.0211764705882353,0.0117647058823529
"NBSWIR1",0,0.0117647058823529,0.0117647058823529,0.0117647058823529
"NBSWIR2",0,0.0117647058823529,0.0117647058823529,0.0117647058823529
"NRSWIR2",0.0117647058823529,0.0117647058823529,0.0235294117647059,0.0117647058823529
"NGSWIR1",0.00235294117647059,0.0117647058823529,0.0117647058823529,0.0117647058823529
"Blue_R",0,0,0,0
"Green_R",0,0,0,0
"SWIR1_R",0,0,0,0
"NDVI",0,0,0.00941176470588235,0
"NDWI",0,0,0.0117647058823529,0
"NDSI1",0,0,0.00941176470588235,0
"NDSI2",0,0,0,0
"SI2",0,0,0,0
"SI3",0,0,0,0
"SI4",0,0,0,0
"SI5",0,0,0.0117647058823529,0
"SAVI",0,0,0,0
"VSSI",0,0,0.00941176470588235,0
"NBR",0,0,0,0
"NBG",0,0,0,0
"NNIRSWIR1",0,0,0,0
"NNIRSWIR2",0,0,0,0
