"feature","importance.05","importance","importance.95","permutation.error"
"VSSI",1.2,1.36363636363636,1.69090909090909,0.176470588235294
"NDSI2",1.01818181818182,1.18181818181818,1.32727272727273,0.152941176470588
"NDWI",1.01818181818182,1.09090909090909,1.25454545454545,0.141176470588235
"NRSWIR1",1.01818181818182,1.09090909090909,1.09090909090909,0.141176470588235
"Blue_R",1,1,1,0.129411764705882
"Green_R",1,1,1,0.129411764705882
"Red_R",1,1,1,0.129411764705882
"NIR_R",1,1,1,0.129411764705882
"SWIR1_R",1,1,1,0.129411764705882
"SWIR2_R",1,1,1,0.129411764705882
"NDVI",0.909090909090909,1,1,0.129411764705882
"SI1",1,1,1,0.129411764705882
"SI2",1,1,1,0.129411764705882
"SI3",1,1,1,0.129411764705882
"SI4",1,1,1,0.129411764705882
"SAVI",0.909090909090909,1,1.07272727272727,0.129411764705882
"NBNIR",0.836363636363636,1,1,0.129411764705882
"NBSWIR2",0.836363636363636,1,1.07272727272727,0.129411764705882
"NRSWIR2",0.836363636363636,1,1.14545454545455,0.129411764705882
"NGSWIR1",0.927272727272727,1,1,0.129411764705882
"NGSWIR2",0.927272727272727,1,1.07272727272727,0.129411764705882
"NNIRSWIR1",0.927272727272727,1,1.14545454545455,0.129411764705882
"NNIRSWIR2",0.836363636363636,1,1.07272727272727,0.129411764705882
"NDSI1",0.836363636363636,0.909090909090909,1,0.117647058823529
"SI5",0.909090909090909,0.909090909090909,0.909090909090909,0.117647058823529
"NBR",0.836363636363636,0.909090909090909,0.909090909090909,0.117647058823529
"NBG",0.909090909090909,0.909090909090909,0.909090909090909,0.117647058823529
"NBSWIR1",0.836363636363636,0.909090909090909,1,0.117647058823529
