"feature","mean_abs_effect","sd_effect"
"VSSI",0.0770414701565898,0.0939469875451056
"NDSI2",0.0552190059469672,0.0811706053125403
"NRSWIR2",0.0442969158469805,0.0505067162436291
"NRSWIR1",0.0364588956410033,0.0463339251450372
"NBNIR",0.0349285761641829,0.0396075802658607
"NNIRSWIR2",0.0317717226746462,0.0496750451445941
"NBSWIR2",0.0313848031055072,0.0367456750675096
"NGSWIR2",0.0308561063898749,0.0398541309221304
"NNIRSWIR1",0.0283235068002815,0.0348017466549503
"NIR_R",0.0278694074097173,0.0357290920423246
"NDWI",0.0276139701867515,0.0368210730495394
"NBSWIR1",0.025518584999353,0.0338183754291823
"SWIR1_R",0.0208891688386079,0.0273629375683742
"SAVI",0.0188699438818828,0.0227083210618114
"NDSI1",0.0148474412281752,0.0215440209423177
"SI5",0.0148150233197751,0.0183727961893068
"SWIR2_R",0.0127185299679642,0.0222342460421455
"NBG",0.0123337418344021,0.0145796209286887
"NGSWIR1",0.0117256458660325,0.0156679064107108
"Green_R",0.00961226899740837,0.0128037685356283
"SI1",0.00952465475846892,0.012407490126979
"NDVI",0.0094597570895135,0.0124307626734233
"Blue_R",0.0075485697377284,0.012354656086082
"SI4",0.00723820690322468,0.0102176987088706
"Red_R",0.00646893467374049,0.00830265796581245
"SI2",0.00553595251522589,0.00643194910278404
"NBR",0.00463197546938542,0.00586979503631465
"SI3",0.00338728126425744,0.00402525760152346
