"feature","mean_abs_effect","sd_effect"
"NDWI",0.142790476190476,0.182498465720246
"NBNIR",0.092447619047619,0.119760402430202
"SWIR2_R",0.0698152380952381,0.0966173156222464
"Green_R",0.0470514285714286,0.0692520847269192
"NRSWIR1",0.03116,0.043854379874151
"VSSI",0.0299714285714286,0.0372162178128391
"NNIRSWIR1",0.0283961904761905,0.0369754608144243
"NDSI1",0.0202761904761905,0.0260227607691571
"NGSWIR1",0.0152247619047619,0.0173584690794001
"NBSWIR2",0.0148361904761905,0.0217063344694023
"Blue_R",0,0
"NBG",0,0
"NBR",0,0
"NBSWIR1",0,0
"NDSI2",0,0
"NDVI",0,0
"NGSWIR2",0,0
"NIR_R",0,0
"NNIRSWIR2",0,0
"NRSWIR2",0,0
"Red_R",0,0
"SAVI",0,0
"SI1",0,0
"SI2",0,0
"SI3",0,0
"SI4",0,0
"SI5",0,0
"SWIR1_R",0,0
