,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
1,1,Random Forest,0.940298507,0.722222222,0.333333333,0.25,0.285714286
2,1,ANN,0.753846154,0.722222222,0,0,NA
3,2,Random Forest,0.96969697,0.611111111,0,0,NA
4,2,ANN,0.803030303,0.666666667,NA,0,NA
5,3,Random Forest,0.971014493,0.6,NA,0,NA
6,3,ANN,0.84057971,0.6,NA,0,NA
7,4,Random Forest,0.942028986,0.875,0.75,0.75,0.75
8,4,ANN,0.803030303,0.6875,0.4,0.5,0.444444444
9,5,Random Forest,0.923076923,0.65,NA,0,NA
10,5,ANN,0.815384615,0.631578947,NA,0,NA
11,6,Random Forest,0.914285714,0.8,NA,0,NA
12,6,ANN,0.779411765,0.8,NA,0,NA
13,7,Random Forest,0.923076923,0.823529412,0.5,0.333333333,0.4
14,7,ANN,0.753846154,0.722222222,0,0,NA
15,8,Random Forest,0.957142857,0.666666667,NA,0,NA
16,8,ANN,0.8,0.666666667,NA,0,NA
17,9,Random Forest,0.913043478,0.714285714,0.5,0.25,0.333333333
18,9,ANN,0.782608696,0.733333333,NA,0,NA
19,10,Random Forest,0.926470588,0.866666667,NA,0,NA
20,10,ANN,0.779411765,0.8,0,0,NA
21,11,Random Forest,0.940298507,0.722222222,0.5,0.2,0.285714286
22,11,ANN,0.815384615,0.588235294,0,0,NA
23,12,Random Forest,0.970588235,0.8125,1,0.25,0.4
24,12,ANN,0.779411765,0.733333333,NA,0,NA
25,13,Random Forest,0.953846154,0.684210526,0.5,0.166666667,0.25
26,13,ANN,0.78125,0.7,NA,0,NA
27,14,Random Forest,0.955223881,0.777777778,NA,0,NA
28,14,ANN,0.76119403,0.666666667,0,0,NA
29,15,Random Forest,0.954545455,0.777777778,0.5,0.25,0.333333333
30,15,ANN,0.803030303,0.777777778,NA,0,NA
31,16,Random Forest,0.940298507,0.647058824,NA,0,NA
32,16,ANN,0.8,0.529411765,0,0,NA
33,17,Random Forest,0.955882353,0.8125,0.333333333,0.5,0.4
34,17,ANN,0.764705882,0.75,0.333333333,1,0.5
35,18,Random Forest,0.924242424,0.722222222,0.25,0.333333333,0.285714286
36,18,ANN,0.765625,0.875,NA,0,NA
37,19,Random Forest,0.96969697,0.722222222,0,0,NA
38,19,ANN,0.8125,0.625,0.25,0.25,0.25
39,20,Random Forest,0.928571429,0.8,0.4,1,0.571428571
40,20,ANN,0.768115942,0.866666667,0.5,0.5,0.5
41,21,Random Forest,0.913043478,0.666666667,NA,0,NA
42,21,ANN,0.805970149,0.5625,0,0,NA
43,22,Random Forest,0.956521739,0.666666667,0.5,0.2,0.285714286
44,22,ANN,0.75,0.5625,0,0,NA
45,23,Random Forest,0.910447761,0.722222222,0.5,0.2,0.285714286
46,23,ANN,0.787878788,0.666666667,0,0,NA
47,24,Random Forest,0.956521739,0.714285714,1,0.2,0.333333333
48,24,ANN,0.797101449,0.642857143,0.5,0.2,0.285714286
49,25,Random Forest,0.985294118,0.625,0,0,NA
50,25,ANN,0.838709677,0.666666667,0.5,0.4,0.444444444
51,26,Random Forest,1,0.631578947,0.5,0.142857143,0.222222222
52,26,ANN,0.875,0.5625,NA,0,NA
53,27,Random Forest,0.970149254,0.722222222,0,0,NA
54,27,ANN,0.784615385,0.625,0,0,NA
55,28,Random Forest,0.939393939,0.764705882,0.333333333,0.333333333,0.333333333
56,28,ANN,0.727272727,0.842105263,NA,0,NA
57,29,Random Forest,0.955882353,0.6,1,0.142857143,0.25
58,29,ANN,0.805970149,0.529411765,0.333333333,0.142857143,0.2
59,30,Random Forest,0.954545455,0.631578947,NA,0,NA
60,30,ANN,0.815384615,0.666666667,1,0.142857143,0.25
61,31,Random Forest,0.913043478,0.6875,0,0,NA
62,31,ANN,0.735294118,0.733333333,NA,0,NA
63,32,Random Forest,0.955223881,0.705882353,0.5,0.4,0.444444444
64,32,ANN,0.772727273,0.625,0,0,NA
65,33,Random Forest,0.953846154,0.75,0.5,0.4,0.444444444
66,33,ANN,0.746031746,0.777777778,NA,0,NA
67,34,Random Forest,0.985294118,0.846153846,NA,0,NA
68,34,ANN,0.76119403,0.8,NA,0,NA
69,35,Random Forest,0.940298507,0.705882353,0.5,0.4,0.444444444
70,35,ANN,0.769230769,0.733333333,NA,0,NA
71,36,Random Forest,0.939393939,0.777777778,0.5,0.25,0.333333333
72,36,ANN,0.758064516,0.769230769,0.5,0.666666667,0.571428571
73,37,Random Forest,0.954545455,0.894736842,1,0.333333333,0.5
74,37,ANN,0.742424242,0.823529412,NA,0,NA
75,38,Random Forest,0.942028986,0.6875,0,0,NA
76,38,ANN,0.746268657,0.75,0.5,0.25,0.333333333
77,39,Random Forest,0.940298507,0.647058824,0,0,NA
78,39,ANN,0.863636364,0.588235294,0,0,NA
79,40,Random Forest,0.984848485,0.666666667,1,0.25,0.4
80,40,ANN,0.8125,0.555555556,NA,0,NA
81,41,Random Forest,0.971014493,0.8,1,0.4,0.571428571
82,41,ANN,0.794117647,0.666666667,NA,0,NA
83,42,Random Forest,0.957142857,0.785714286,0,0,NA
84,42,ANN,0.728571429,0.857142857,NA,0,NA
85,43,Random Forest,0.911764706,0.75,NA,0,NA
86,43,ANN,0.777777778,0.75,NA,0,NA
87,44,Random Forest,0.924242424,0.578947368,NA,0,NA
88,44,ANN,0.838709677,0.588235294,NA,0,NA
89,45,Random Forest,0.985294118,0.8125,0,0,NA
90,45,ANN,0.731343284,0.846153846,NA,0,NA
91,46,Random Forest,0.954545455,0.666666667,1,0.142857143,0.25
92,46,ANN,0.818181818,0.647058824,NA,0,NA
93,47,Random Forest,0.955223881,0.705882353,1,0.166666667,0.285714286
94,47,ANN,0.820895522,0.588235294,0,0,NA
95,48,Random Forest,0.956521739,0.714285714,0.5,0.25,0.333333333
96,48,ANN,0.791044776,0.533333333,0,0,NA
97,49,Random Forest,0.942028986,0.666666667,NA,0,NA
98,49,ANN,0.838235294,0.6875,NA,0,NA
99,50,Random Forest,0.970149254,0.777777778,1,0.2,0.333333333
100,50,ANN,0.746031746,0.75,NA,0,NA
101,51,Random Forest,0.957142857,0.666666667,NA,0,NA
102,51,ANN,0.768115942,0.666666667,NA,0,NA
103,52,Random Forest,0.942857143,0.857142857,1,0.5,0.666666667
104,52,ANN,0.785714286,0.666666667,NA,0,NA
105,53,Random Forest,0.955223881,0.764705882,0.5,0.25,0.333333333
106,53,ANN,0.803030303,0.647058824,0.25,0.25,0.25
107,54,Random Forest,0.926470588,0.764705882,0.5,0.25,0.333333333
108,54,ANN,0.734375,0.8,NA,0,NA
109,55,Random Forest,0.954545455,0.684210526,1,0.142857143,0.25
110,55,ANN,0.779661017,0.733333333,1,0.2,0.333333333
111,56,Random Forest,0.957142857,0.666666667,0,0,NA
112,56,ANN,0.757142857,0.857142857,1,0.333333333,0.5
113,57,Random Forest,0.916666667,0.833333333,NA,0,NA
114,57,ANN,0.791666667,0.692307692,0,0,NA
115,58,Random Forest,0.984848485,0.684210526,0,0,NA
116,58,ANN,0.738461538,0.888888889,0.5,0.5,0.5
117,59,Random Forest,0.924242424,0.722222222,1,0.375,0.545454545
118,59,ANN,0.8,0.555555556,NA,0,NA
119,60,Random Forest,0.985074627,0.866666667,1,0.6,0.75
120,60,ANN,0.820895522,0.625,0,0,NA
121,61,Random Forest,0.909090909,0.842105263,0.5,0.333333333,0.4
122,61,ANN,0.75,0.789473684,0,0,NA
123,62,Random Forest,0.953846154,0.7,NA,0,NA
124,62,ANN,0.84375,0.684210526,0.333333333,0.2,0.25
125,63,Random Forest,0.971014493,0.6,0,0,NA
126,63,ANN,0.768115942,0.733333333,NA,0,NA
127,64,Random Forest,0.938461538,0.470588235,0,0,NA
128,64,ANN,0.78125,0.647058824,0.166666667,0.5,0.25
129,65,Random Forest,0.969230769,0.705882353,0.333333333,0.25,0.285714286
130,65,ANN,0.769230769,0.777777778,NA,0,NA
131,66,Random Forest,0.911764706,0.823529412,1,0.25,0.4
132,66,ANN,0.779411765,0.764705882,NA,0,NA
133,67,Random Forest,0.940298507,0.722222222,1,0.285714286,0.444444444
134,67,ANN,0.8,0.625,NA,0,NA
135,68,Random Forest,0.955223881,0.823529412,1,0.25,0.4
136,68,ANN,0.757575758,0.833333333,NA,0,NA
137,69,Random Forest,0.955223881,0.722222222,1,0.166666667,0.285714286
138,69,ANN,0.738461538,0.722222222,1,0.166666667,0.285714286
139,70,Random Forest,0.941176471,0.588235294,0,0,NA
140,70,ANN,0.779411765,0.529411765,0,0,NA
141,71,Random Forest,0.939393939,0.736842105,0,0,NA
142,71,ANN,0.75,0.736842105,0,0,NA
143,72,Random Forest,0.913043478,0.846153846,NA,0,NA
144,72,ANN,0.764705882,0.75,0,0,NA
145,73,Random Forest,0.939393939,0.833333333,0,0,NA
146,73,ANN,0.696969697,0.944444444,NA,0,NA
147,74,Random Forest,0.923076923,0.8,0,0,NA
148,74,ANN,0.761904762,0.736842105,0,0,NA
149,75,Random Forest,0.984848485,0.611111111,0,0,NA
150,75,ANN,0.8,0.647058824,0,0,NA
151,76,Random Forest,0.954545455,0.647058824,0,0,NA
152,76,ANN,0.830769231,0.631578947,0,0,NA
153,77,Random Forest,0.941176471,0.75,NA,0,NA
154,77,ANN,0.803030303,0.75,0.5,0.25,0.333333333
155,78,Random Forest,0.956521739,0.8125,NA,0,NA
156,78,ANN,0.852941176,0.8125,NA,0,NA
157,79,Random Forest,0.925373134,0.8125,0,0,NA
158,79,ANN,0.757575758,0.764705882,0,0,NA
159,80,Random Forest,0.939393939,0.722222222,1,0.166666667,0.285714286
160,80,ANN,0.818181818,0.625,0,0,NA
161,81,Random Forest,0.941176471,0.764705882,NA,0,NA
162,81,ANN,0.772727273,0.733333333,NA,0,NA
163,82,Random Forest,0.9375,0.7,NA,0,NA
164,82,ANN,0.790322581,0.5,0,0,NA
165,83,Random Forest,0.96969697,0.764705882,1,0.2,0.333333333
166,83,ANN,0.787878788,0.705882353,NA,0,NA
167,84,Random Forest,0.911764706,0.764705882,0,0,NA
168,84,ANN,0.8,0.764705882,0,0,NA
169,85,Random Forest,0.923076923,0.75,0,0,NA
170,85,ANN,0.703125,0.705882353,0.25,0.333333333,0.285714286
171,86,Random Forest,0.939393939,0.722222222,0,0,NA
172,86,ANN,0.703125,0.933333333,NA,0,NA
173,87,Random Forest,0.971014493,0.75,0.5,0.25,0.333333333
174,87,ANN,0.808823529,0.733333333,0.5,0.75,0.6
175,88,Random Forest,0.953846154,0.684210526,0,0,NA
176,88,ANN,0.75,0.789473684,NA,0,NA
177,89,Random Forest,0.953846154,0.631578947,0.5,0.142857143,0.222222222
178,89,ANN,0.828125,0.647058824,NA,0,NA
179,90,Random Forest,0.96969697,0.555555556,0.5,0.125,0.2
180,90,ANN,0.84375,0.611111111,0.666666667,0.25,0.363636364
181,91,Random Forest,0.939393939,0.705882353,0,0,NA
182,91,ANN,0.790322581,0.764705882,NA,0,NA
183,92,Random Forest,0.940298507,0.888888889,0.5,0.5,0.5
184,92,ANN,0.712121212,0.882352941,NA,0,NA
185,93,Random Forest,0.925373134,0.722222222,NA,0,NA
186,93,ANN,0.772727273,0.705882353,NA,0,NA
187,94,Random Forest,0.938461538,0.9,NA,0,NA
188,94,ANN,0.796875,0.666666667,0,0,NA
189,95,Random Forest,0.955223881,0.823529412,0,0,NA
190,95,ANN,0.723076923,0.941176471,NA,0,NA
191,96,Random Forest,0.942028986,0.5625,0,0,NA
