,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
1,1,Random Forest,0.913043478,0.6875,0.333333333,0.25,0.285714286
2,1,ANN,0.776119403,0.333333333,0.125,0.25,0.166666667
3,2,Random Forest,0.927536232,0.714285714,NA,0,NA
4,2,ANN,0.764705882,0.714285714,NA,0,NA
5,3,Random Forest,0.913043478,0.75,NA,0,NA
6,3,ANN,0.782608696,0.625,0,0,NA
7,4,Random Forest,0.898550725,0.8,NA,0,NA
8,4,ANN,0.768115942,0.8,NA,0,NA
9,5,Random Forest,0.956521739,0.6,0,0,NA
10,5,ANN,0.746268657,0.714285714,NA,0,NA
11,6,Random Forest,0.898550725,0.875,1,0.5,0.666666667
12,6,ANN,0.75,0.75,NA,0,NA
13,7,Random Forest,0.913043478,0.8125,1,0.25,0.4
14,7,ANN,0.75,0.733333333,NA,0,NA
15,8,Random Forest,0.927536232,0.6,0,0,NA
16,8,ANN,0.838235294,0.714285714,NA,0,NA
17,9,Random Forest,0.927536232,0.75,0.5,0.25,0.333333333
18,9,ANN,0.753623188,0.75,NA,0,NA
19,10,Random Forest,0.898550725,0.714285714,NA,0,NA
20,10,ANN,0.768115942,0.714285714,NA,0,NA
21,11,Random Forest,0.913043478,0.733333333,NA,0,NA
22,11,ANN,0.808823529,0.733333333,NA,0,NA
23,12,Random Forest,0.956521739,0.6875,0.333333333,0.25,0.285714286
24,12,ANN,0.75,0.733333333,NA,0,NA
25,13,Random Forest,0.971014493,0.8125,1,0.25,0.4
26,13,ANN,0.731343284,0.6875,0.333333333,0.25,0.285714286
27,14,Random Forest,0.956521739,0.866666667,1,0.333333333,0.5
28,14,ANN,0.753623188,0.8,NA,0,NA
29,15,Random Forest,0.898550725,0.75,NA,0,NA
30,15,ANN,0.776119403,0.666666667,0,0,NA
31,16,Random Forest,0.927536232,0.75,0.5,0.25,0.333333333
32,16,ANN,0.782608696,0.6875,0,0,NA
33,17,Random Forest,0.942028986,0.75,NA,0,NA
34,17,ANN,0.768115942,0.733333333,0,0,NA
35,18,Random Forest,0.913043478,0.8125,1,0.25,0.4
36,18,ANN,0.769230769,0.625,0,0,NA
37,19,Random Forest,0.913043478,0.75,NA,0,NA
38,19,ANN,0.820895522,0.6875,0,0,NA
39,20,Random Forest,0.927536232,0.875,1,0.5,0.666666667
40,20,ANN,0.764705882,0.5625,0.2,0.25,0.222222222
41,21,Random Forest,0.942028986,0.8,NA,0,NA
42,21,ANN,0.811594203,0.8,NA,0,NA
43,22,Random Forest,0.927536232,0.846153846,0.666666667,0.666666667,0.666666667
44,22,ANN,0.791044776,0.8,NA,0,NA
45,23,Random Forest,0.956521739,0.733333333,NA,0,NA
46,23,ANN,0.791044776,0.714285714,0.5,0.25,0.333333333
47,24,Random Forest,0.913043478,0.733333333,NA,0,NA
48,24,ANN,0.84057971,0.75,NA,0,NA
49,25,Random Forest,0.898550725,0.785714286,1,0.25,0.4
50,25,ANN,0.75,0.733333333,NA,0,NA
51,26,Random Forest,0.927536232,0.733333333,NA,0,NA
52,26,ANN,0.823529412,0.642857143,0,0,NA
53,27,Random Forest,0.898550725,0.75,0.5,0.25,0.333333333
54,27,ANN,0.787878788,0.625,0.25,0.25,0.25
55,28,Random Forest,0.942028986,0.733333333,0.333333333,0.333333333,0.333333333
56,28,ANN,0.826086957,0.8,NA,0,NA
57,29,Random Forest,0.956521739,0.75,NA,0,NA
58,29,ANN,0.75,0.75,NA,0,NA
59,30,Random Forest,0.956521739,0.666666667,0,0,NA
60,30,ANN,0.838235294,0.428571429,0,0,NA
61,31,Random Forest,0.942028986,0.8,NA,0,NA
62,31,ANN,0.782608696,0.857142857,1,0.333333333,0.5
63,32,Random Forest,0.942028986,0.785714286,NA,0,NA
64,32,ANN,0.797101449,0.8,NA,0,NA
65,33,Random Forest,0.927536232,0.75,NA,0,NA
66,33,ANN,0.75,0.5625,0,0,NA
67,34,Random Forest,0.927536232,0.8125,1,0.25,0.4
68,34,ANN,0.794117647,0.75,NA,0,NA
69,35,Random Forest,0.942028986,0.6875,0,0,NA
70,35,ANN,0.791044776,0.75,0.5,0.25,0.333333333
71,36,Random Forest,0.942028986,0.733333333,0.5,0.25,0.333333333
72,36,ANN,0.808823529,0.6,0,0,NA
73,37,Random Forest,0.956521739,0.733333333,0,0,NA
74,37,ANN,0.75,0.666666667,0,0,NA
75,38,Random Forest,0.884057971,0.846153846,1,0.5,0.666666667
76,38,ANN,0.76119403,0.733333333,NA,0,NA
77,39,Random Forest,0.927536232,0.8125,1,0.25,0.4
78,39,ANN,0.768115942,0.8,NA,0,NA
79,40,Random Forest,0.956521739,0.733333333,NA,0,NA
80,40,ANN,0.867647059,0.666666667,0.333333333,0.25,0.285714286
81,41,Random Forest,0.942028986,0.8,NA,0,NA
82,41,ANN,0.797101449,0.733333333,0,0,NA
83,42,Random Forest,0.942028986,0.8,NA,0,NA
84,42,ANN,0.811594203,0.666666667,0.25,0.333333333,0.285714286
85,43,Random Forest,0.942028986,0.733333333,NA,0,NA
86,43,ANN,0.768115942,0.733333333,NA,0,NA
87,44,Random Forest,0.913043478,0.75,NA,0,NA
88,44,ANN,0.803030303,0.6875,0.333333333,0.25,0.285714286
89,45,Random Forest,0.898550725,0.75,NA,0,NA
90,45,ANN,0.768115942,0.75,NA,0,NA
91,46,Random Forest,0.927536232,0.733333333,NA,0,NA
92,46,ANN,0.808823529,0.6,0,0,NA
93,47,Random Forest,0.942028986,0.75,NA,0,NA
94,47,ANN,0.823529412,0.5625,0,0,NA
95,48,Random Forest,0.942028986,0.666666667,0,0,NA
96,48,ANN,0.779411765,0.733333333,NA,0,NA
97,49,Random Forest,0.927536232,0.8,1,0.25,0.4
98,49,ANN,0.776119403,0.733333333,NA,0,NA
99,50,Random Forest,0.942028986,0.8,1,0.25,0.4
100,50,ANN,0.705882353,0.666666667,0,0,NA
101,51,Random Forest,0.913043478,0.8,0.5,0.333333333,0.4
102,51,ANN,0.768115942,0.8,NA,0,NA
103,52,Random Forest,0.898550725,0.733333333,NA,0,NA
104,52,ANN,0.753846154,0.6,0,0,NA
105,53,Random Forest,0.956521739,0.714285714,0.333333333,0.333333333,0.333333333
106,53,ANN,0.753623188,0.785714286,NA,0,NA
107,54,Random Forest,0.898550725,0.75,NA,0,NA
108,54,ANN,0.863636364,0.6875,0,0,NA
109,55,Random Forest,0.956521739,0.6875,0,0,NA
110,55,ANN,0.797101449,0.75,0.5,0.25,0.333333333
111,56,Random Forest,0.942028986,0.75,NA,0,NA
112,56,ANN,0.808823529,0.6875,0,0,NA
113,57,Random Forest,0.913043478,0.75,0.5,0.25,0.333333333
114,57,ANN,0.764705882,0.75,NA,0,NA
115,58,Random Forest,0.898550725,0.8125,1,0.25,0.4
116,58,ANN,0.8,0.785714286,NA,0,NA
117,59,Random Forest,0.898550725,0.75,NA,0,NA
118,59,ANN,0.794117647,0.625,0,0,NA
119,60,Random Forest,0.942028986,0.8125,1,0.25,0.4
120,60,ANN,0.742424242,0.714285714,NA,0,NA
121,61,Random Forest,0.971014493,0.692307692,0.333333333,0.333333333,0.333333333
122,61,ANN,0.75,0.8,NA,0,NA
123,62,Random Forest,0.942028986,0.8,NA,0,NA
124,62,ANN,0.739130435,0.733333333,0,0,NA
125,63,Random Forest,0.913043478,0.6875,0,0,NA
126,63,ANN,0.838235294,0.8,NA,0,NA
127,64,Random Forest,0.956521739,0.625,0,0,NA
128,64,ANN,0.705882353,0.5625,0,0,NA
129,65,Random Forest,0.898550725,0.8,1,0.25,0.4
130,65,ANN,0.779411765,0.714285714,NA,0,NA
131,66,Random Forest,0.898550725,0.6875,0,0,NA
132,66,ANN,0.808823529,0.75,0.5,0.25,0.333333333
133,67,Random Forest,0.971014493,0.625,0.25,0.25,0.25
134,67,ANN,0.823529412,0.466666667,0.166666667,0.25,0.2
135,68,Random Forest,0.942028986,0.5625,0,0,NA
136,68,ANN,0.794117647,0.733333333,NA,0,NA
137,69,Random Forest,0.942028986,0.6875,0,0,NA
138,69,ANN,0.779411765,0.6875,0,0,NA
139,70,Random Forest,0.927536232,0.8,1,0.25,0.4
140,70,ANN,0.779411765,0.666666667,0,0,NA
141,71,Random Forest,0.898550725,0.6,0,0,NA
142,71,ANN,0.764705882,0.642857143,0,0,NA
143,72,Random Forest,0.898550725,0.8125,1,0.25,0.4
144,72,ANN,0.768115942,0.6875,0.333333333,0.25,0.285714286
145,73,Random Forest,0.942028986,0.666666667,0,0,NA
146,73,ANN,0.764705882,0.75,NA,0,NA
147,74,Random Forest,0.913043478,0.8125,1,0.25,0.4
148,74,ANN,0.776119403,0.6875,0,0,NA
149,75,Random Forest,0.942028986,0.866666667,1,0.333333333,0.5
150,75,ANN,0.764705882,0.857142857,0.5,0.5,0.5
151,76,Random Forest,0.956521739,0.75,0.5,0.25,0.333333333
152,76,ANN,0.75,0.75,NA,0,NA
153,77,Random Forest,0.913043478,0.8125,1,0.25,0.4
154,77,ANN,0.791044776,0.75,NA,0,NA
155,78,Random Forest,0.884057971,0.785714286,1,0.25,0.4
156,78,ANN,0.776119403,0.642857143,0,0,NA
157,79,Random Forest,0.898550725,0.75,NA,0,NA
158,79,ANN,0.808823529,0.75,NA,0,NA
159,80,Random Forest,0.913043478,0.8125,1,0.25,0.4
160,80,ANN,0.772727273,0.8,NA,0,NA
161,81,Random Forest,0.956521739,0.75,NA,0,NA
162,81,ANN,0.753623188,0.75,NA,0,NA
163,82,Random Forest,0.956521739,0.75,NA,0,NA
164,82,ANN,0.764705882,0.733333333,0,0,NA
165,83,Random Forest,0.985507246,0.866666667,1,0.333333333,0.5
166,83,ANN,0.782608696,0.8,NA,0,NA
167,84,Random Forest,0.971014493,0.75,0.5,0.25,0.333333333
168,84,ANN,0.779411765,0.75,NA,0,NA
169,85,Random Forest,0.898550725,0.8125,1,0.25,0.4
170,85,ANN,0.833333333,0.8,NA,0,NA
171,86,Random Forest,0.971014493,0.733333333,0.5,0.5,0.5
172,86,ANN,0.838235294,0.733333333,0.5,0.25,0.333333333
173,87,Random Forest,0.942028986,0.8,1,0.25,0.4
174,87,ANN,0.776119403,0.733333333,NA,0,NA
175,88,Random Forest,0.942028986,0.8125,1,0.25,0.4
176,88,ANN,0.75,0.75,NA,0,NA
177,89,Random Forest,0.956521739,0.666666667,0,0,NA
178,89,ANN,0.768115942,0.733333333,0.428571429,1,0.6
179,90,Random Forest,0.913043478,0.8,1,0.25,0.4
180,90,ANN,0.753623188,0.733333333,NA,0,NA
181,91,Random Forest,0.956521739,0.8125,1,0.25,0.4
182,91,ANN,0.746268657,0.6875,0,0,NA
183,92,Random Forest,0.942028986,0.733333333,NA,0,NA
184,92,ANN,0.811594203,0.733333333,0.5,0.25,0.333333333
185,93,Random Forest,0.942028986,0.8,1,0.25,0.4
186,93,ANN,0.808823529,0.6,0.25,0.25,0.25
187,94,Random Forest,0.956521739,0.5,0,0,NA
188,94,ANN,0.826086957,0.666666667,0,0,NA
189,95,Random Forest,0.956521739,0.8,NA,0,NA
190,95,ANN,0.797101449,0.8,0.5,0.333333333,0.4
191,96,Random Forest,0.898550725,0.866666667,1,0.333333333,0.5
192,96,ANN,0.735294118,0.785714286,NA,0,NA
193,97,Random Forest,0.956521739,0.6875,0,0,NA
194,97,ANN,0.776119403,0.625,0,0,NA
195,98,Random Forest,0.898550725,0.8,1,0.25,0.4
196,98,ANN,0.76119403,0.733333333,NA,0,NA
197,99,Random Forest,0.985507246,0.75,NA,0,NA
198,99,ANN,0.791044776,0.6875,0,0,NA
199,100,Random Forest,0.956521739,0.666666667,0,0,NA
200,100,ANN,0.797101449,0.666666667,0,0,NA
