"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.988095238095238,0.6,0.285714285714286,0.4,0.333333333333333
"2",1,"Random Forest",0.988095238095238,0.7,0.4,0.4,0.4
"3",1,"ANN",0.976190476190476,0.7,0.4,0.4,0.4
"4",2,"Logistic",0.94047619047619,0.8,0.571428571428571,0.8,0.666666666666667
"5",2,"Random Forest",1,0.9,0.8,0.8,0.8
"6",2,"ANN",0.964285714285714,0.8,0.6,0.6,0.6
"7",3,"Logistic",0.988095238095238,0.85,0.666666666666667,0.8,0.727272727272727
"8",3,"Random Forest",0.988095238095238,0.95,1,0.8,0.888888888888889
"9",3,"ANN",0.916666666666667,0.85,0.666666666666667,0.8,0.727272727272727
"10",4,"Logistic",1,0.9,0.714285714285714,1,0.833333333333333
"11",4,"Random Forest",1,0.9,0.8,0.8,0.8
"12",4,"ANN",0.952380952380952,0.75,0.5,0.2,0.285714285714286
"13",5,"Logistic",0.952380952380952,0.75,0.5,0.8,0.615384615384615
"14",5,"Random Forest",0.988095238095238,0.95,0.833333333333333,1,0.909090909090909
"15",5,"ANN",0.94047619047619,0.8,0.555555555555556,1,0.714285714285714
"16",6,"Logistic",1,0.65,0.333333333333333,0.4,0.363636363636364
"17",6,"Random Forest",1,0.85,0.75,0.6,0.666666666666667
"18",6,"ANN",0.976190476190476,0.75,0.5,0.6,0.545454545454545
"19",7,"Logistic",0.988095238095238,0.9,0.8,0.8,0.8
"20",7,"Random Forest",0.988095238095238,0.85,0.75,0.6,0.666666666666667
"21",7,"ANN",0.964285714285714,0.85,0.75,0.6,0.666666666666667
"22",8,"Logistic",0.988095238095238,0.75,0.5,0.8,0.615384615384615
"23",8,"Random Forest",0.988095238095238,0.85,0.75,0.6,0.666666666666667
"24",8,"ANN",0.964285714285714,0.75,0.5,0.6,0.545454545454545
"25",9,"Logistic",0.964285714285714,0.9,0.8,0.8,0.8
"26",9,"Random Forest",0.988095238095238,0.9,1,0.6,0.75
"27",9,"ANN",0.976190476190476,0.85,0.75,0.6,0.666666666666667
"28",10,"Logistic",1,0.6,0.285714285714286,0.4,0.333333333333333
"29",10,"Random Forest",1,0.75,0.5,0.6,0.545454545454545
"30",10,"ANN",0.964285714285714,0.65,0.333333333333333,0.4,0.363636363636364
"31",11,"Logistic",0.988095238095238,0.8,0.555555555555556,1,0.714285714285714
"32",11,"Random Forest",0.988095238095238,0.95,0.833333333333333,1,0.909090909090909
"33",11,"ANN",0.94047619047619,0.9,0.8,0.8,0.8
"34",12,"Logistic",1,0.85,0.75,0.6,0.666666666666667
"35",12,"Random Forest",1,0.9,0.8,0.8,0.8
"36",12,"ANN",0.988095238095238,0.75,0.5,0.4,0.444444444444444
"37",13,"Logistic",1,0.8,0.571428571428571,0.8,0.666666666666667
"38",13,"Random Forest",1,0.8,0.6,0.6,0.6
"39",13,"ANN",0.952380952380952,0.9,0.714285714285714,1,0.833333333333333
"40",14,"Logistic",0.988095238095238,0.7,0.4,0.4,0.4
