"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.951807228915663,0.714285714285714,0.666666666666667,0.285714285714286,0.4
"2",1,"Random Forest",1,0.714285714285714,0.666666666666667,0.285714285714286,0.4
"3",1,"ANN",0.987951807228916,0.80952380952381,1,0.428571428571429,0.6
"4",2,"Logistic",0.951807228915663,0.80952380952381,0.5,0.75,0.6
"5",2,"Random Forest",1,0.80952380952381,0.5,0.25,0.333333333333333
"6",2,"ANN",0.975903614457831,0.714285714285714,0.25,0.25,0.25
"7",3,"Logistic",0.903614457831325,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"8",3,"Random Forest",0.987951807228916,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"9",3,"ANN",0.963855421686747,0.80952380952381,0.666666666666667,0.857142857142857,0.75
"10",4,"Logistic",0.927710843373494,0.857142857142857,0.857142857142857,0.75,0.8
"11",4,"Random Forest",1,0.857142857142857,0.857142857142857,0.75,0.8
"12",4,"ANN",0.987951807228916,0.80952380952381,0.833333333333333,0.625,0.714285714285714
"13",5,"Logistic",0.975903614457831,0.714285714285714,0.555555555555556,0.714285714285714,0.625
"14",5,"Random Forest",0.987951807228916,0.80952380952381,0.666666666666667,0.857142857142857,0.75
"15",5,"ANN",0.975903614457831,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"16",6,"Logistic",0.91566265060241,0.904761904761905,0.8,0.8,0.8
"17",6,"Random Forest",0.987951807228916,0.904761904761905,0.8,0.8,0.8
"18",6,"ANN",0.951807228915663,0.857142857142857,0.666666666666667,0.8,0.727272727272727
"19",7,"Logistic",0.927710843373494,0.857142857142857,0.6,0.75,0.666666666666667
"20",7,"Random Forest",1,0.857142857142857,0.6,0.75,0.666666666666667
"21",7,"ANN",0.939759036144578,0.857142857142857,0.6,0.75,0.666666666666667
"22",8,"Logistic",0.91566265060241,0.904761904761905,1,0.666666666666667,0.8
"23",8,"Random Forest",0.987951807228916,0.904761904761905,1,0.666666666666667,0.8
"24",8,"ANN",0.975903614457831,0.80952380952381,1,0.333333333333333,0.5
"25",9,"Logistic",0.891566265060241,0.80952380952381,0.5,0.75,0.6
"26",9,"Random Forest",0.987951807228916,0.952380952380952,1,0.75,0.857142857142857
"27",9,"ANN",0.939759036144578,0.952380952380952,1,0.75,0.857142857142857
