"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.917647058823529,0.761904761904762,0.555555555555556,0.833333333333333,0.666666666666667
"2",1,"Random Forest",0.988235294117647,0.904761904761905,0.833333333333333,0.833333333333333,0.833333333333333
"3",1,"ANN",0.952941176470588,0.80952380952381,0.625,0.833333333333333,0.714285714285714
"4",2,"Logistic",0.894117647058824,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"5",2,"Random Forest",1,0.761904761904762,0.6,0.5,0.545454545454545
"6",2,"ANN",0.988235294117647,0.857142857142857,0.714285714285714,0.833333333333333,0.769230769230769
"7",3,"Logistic",0.894117647058824,0.857142857142857,0.714285714285714,0.833333333333333,0.769230769230769
"8",3,"Random Forest",0.988235294117647,0.904761904761905,1,0.666666666666667,0.8
"9",3,"ANN",0.941176470588235,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"10",4,"Logistic",0.917647058823529,0.80952380952381,0.666666666666667,0.666666666666667,0.666666666666667
"11",4,"Random Forest",1,0.80952380952381,0.75,0.5,0.6
"12",4,"ANN",0.952941176470588,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"13",5,"Logistic",0.870588235294118,0.857142857142857,0.714285714285714,0.833333333333333,0.769230769230769
"14",5,"Random Forest",0.988235294117647,0.904761904761905,1,0.666666666666667,0.8
"15",5,"ANN",0.952941176470588,0.904761904761905,1,0.666666666666667,0.8
"16",6,"Logistic",0.905882352941176,0.80952380952381,1,0.333333333333333,0.5
"17",6,"Random Forest",1,0.80952380952381,1,0.333333333333333,0.5
"18",6,"ANN",0.988235294117647,0.714285714285714,0.5,0.5,0.5
"19",7,"Logistic",0.917647058823529,0.857142857142857,1,0.5,0.666666666666667
"20",7,"Random Forest",0.988235294117647,0.761904761904762,1,0.166666666666667,0.285714285714286
"21",7,"ANN",0.976470588235294,0.80952380952381,0.75,0.5,0.6
"22",8,"Logistic",0.870588235294118,0.904761904761905,1,0.666666666666667,0.8
"23",8,"Random Forest",0.988235294117647,0.904761904761905,1,0.666666666666667,0.8
"24",8,"ANN",0.929411764705882,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"25",9,"Logistic",0.917647058823529,0.761904761904762,0.571428571428571,0.666666666666667,0.615384615384615
"26",9,"Random Forest",0.988235294117647,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"27",9,"ANN",0.964705882352941,0.80952380952381,0.666666666666667,0.666666666666667,0.666666666666667
"28",10,"Logistic",0.882352941176471,0.80952380952381,0.75,0.5,0.6
"29",10,"Random Forest",1,0.761904761904762,0.666666666666667,0.333333333333333,0.444444444444444
"30",10,"ANN",0.988235294117647,0.80952380952381,0.75,0.5,0.6
"31",11,"Logistic",0.858823529411765,1,1,1,1
"32",11,"Random Forest",0.988235294117647,0.952380952380952,1,0.833333333333333,0.909090909090909
"33",11,"ANN",0.988235294117647,0.857142857142857,0.714285714285714,0.833333333333333,0.769230769230769
"34",12,"Logistic",0.882352941176471,0.80952380952381,0.75,0.5,0.6
"35",12,"Random Forest",1,0.80952380952381,1,0.333333333333333,0.5
"36",12,"ANN",1,0.666666666666667,0.444444444444444,0.666666666666667,0.533333333333333
"37",13,"Logistic",0.882352941176471,0.80952380952381,0.666666666666667,0.666666666666667,0.666666666666667
"38",13,"Random Forest",0.988235294117647,0.904761904761905,1,0.666666666666667,0.8
"39",13,"ANN",0.941176470588235,0.904761904761905,1,0.666666666666667,0.8
"40",14,"Logistic",0.870588235294118,0.904761904761905,0.833333333333333,0.833333333333333,0.833333333333333
"41",14,"Random Forest",0.988235294117647,0.904761904761905,0.833333333333333,0.833333333333333,0.833333333333333
