,Iteration,Model_Type,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
1,1,Random Forest,0.985074627,0.722222222,0.333333333,0.25,0.285714286
2,1,ANN,0.921875,0.555555556,0,0,NA
3,2,Random Forest,1,0.666666667,NA,0,NA
4,2,ANN,0.954545455,0.529411765,0.285714286,0.4,0.333333333
5,3,Random Forest,1,0.666666667,1,0.166666667,0.285714286
6,3,ANN,0.953846154,0.466666667,0,0,NA
7,4,Random Forest,1,0.8125,0.666666667,0.5,0.571428571
8,4,ANN,0.955882353,0.6875,0.4,0.5,0.444444444
9,5,Random Forest,1,0.65,0.5,0.142857143,0.222222222
10,5,ANN,0.9375,0.6,0.333333333,0.142857143,0.2
11,6,Random Forest,1,0.866666667,1,0.333333333,0.5
12,6,ANN,0.885714286,0.733333333,0,0,NA
13,7,Random Forest,1,1,1,1,1
14,7,ANN,0.846153846,0.888888889,0.666666667,0.666666667,0.666666667
15,8,Random Forest,1,0.733333333,1,0.2,0.333333333
16,8,ANN,0.898550725,0.666666667,NA,0,NA
17,9,Random Forest,0.985507246,0.615384615,0,0,NA
18,9,ANN,0.956521739,0.6,0.25,0.25,0.25
19,10,Random Forest,1,0.875,0.5,0.5,0.5
20,10,ANN,0.941176471,0.6,0,0,NA
21,11,Random Forest,0.985074627,0.777777778,1,0.2,0.333333333
22,11,ANN,0.909090909,0.533333333,0.285714286,0.5,0.363636364
23,12,Random Forest,0.985294118,0.75,0.5,0.25,0.333333333
24,12,ANN,0.911764706,0.470588235,0.166666667,0.2,0.181818182
25,13,Random Forest,1,0.722222222,0.5,0.2,0.285714286
26,13,ANN,0.921875,0.857142857,1,0.6,0.75
27,14,Random Forest,1,0.722222222,0,0,NA
28,14,ANN,0.9375,0.75,0.333333333,0.333333333,0.333333333
29,15,Random Forest,1,0.833333333,1,0.25,0.4
30,15,ANN,0.833333333,0.684210526,0.4,0.4,0.4
31,16,Random Forest,1,0.555555556,0,0,NA
32,16,ANN,0.910447761,0.555555556,0.25,0.166666667,0.2
33,17,Random Forest,1,0.9375,1,0.5,0.666666667
34,17,ANN,0.925373134,0.866666667,0.5,0.5,0.5
35,18,Random Forest,0.984848485,0.789473684,0.333333333,0.333333333,0.333333333
36,18,ANN,0.919354839,0.538461538,0,0,NA
37,19,Random Forest,1,0.789473684,NA,0,NA
38,19,ANN,0.907692308,0.785714286,0.5,0.333333333,0.4
39,20,Random Forest,0.985714286,0.733333333,0,0,NA
40,20,ANN,0.928571429,0.769230769,0,0,NA
41,21,Random Forest,1,0.733333333,1,0.2,0.333333333
42,21,ANN,0.878787879,0.625,0.333333333,0.2,0.25
43,22,Random Forest,1,0.733333333,1,0.2,0.333333333
44,22,ANN,0.913043478,0.666666667,0.5,0.2,0.285714286
45,23,Random Forest,0.985074627,0.777777778,1,0.2,0.333333333
46,23,ANN,0.805970149,0.647058824,0.428571429,0.6,0.5
47,24,Random Forest,1,0.714285714,1,0.2,0.333333333
48,24,ANN,0.911764706,0.733333333,0.666666667,0.4,0.5
49,25,Random Forest,1,0.705882353,NA,0,NA
50,25,ANN,0.926470588,0.705882353,0.5,0.4,0.444444444
51,26,Random Forest,1,0.684210526,1,0.142857143,0.25
52,26,ANN,0.923076923,0.611111111,0,0,NA
53,27,Random Forest,1,0.722222222,0,0,NA
54,27,ANN,0.951612903,0.6875,0,0,NA
55,28,Random Forest,0.984848485,0.631578947,0.166666667,0.333333333,0.222222222
56,28,ANN,0.939393939,0.705882353,0.333333333,0.666666667,0.444444444
57,29,Random Forest,1,0.6,1,0.142857143,0.25
58,29,ANN,0.939393939,0.666666667,1,0.166666667,0.285714286
59,30,Random Forest,1,0.647058824,NA,0,NA
60,30,ANN,0.924242424,0.666666667,0.5,0.4,0.444444444
61,31,Random Forest,0.985507246,0.75,NA,0,NA
62,31,ANN,0.913043478,0.8,1,0.25,0.4
63,32,Random Forest,1,0.764705882,1,0.2,0.333333333
64,32,ANN,0.895522388,0.705882353,0.5,0.2,0.285714286
65,33,Random Forest,1,0.8,1,0.2,0.333333333
66,33,ANN,0.936507937,0.684210526,0.333333333,0.5,0.4
67,34,Random Forest,1,0.866666667,NA,0,NA
68,34,ANN,0.954545455,0.846153846,NA,0,NA
69,35,Random Forest,0.985074627,0.882352941,1,0.5,0.666666667
70,35,ANN,0.936507937,0.588235294,0.2,0.25,0.222222222
71,36,Random Forest,0.984848485,0.789473684,NA,0,NA
72,36,ANN,0.924242424,0.666666667,0.25,0.333333333,0.285714286
73,37,Random Forest,1,0.894736842,1,0.333333333,0.5
74,37,ANN,0.815384615,0.470588235,0,0,NA
75,38,Random Forest,1,0.6875,0,0,NA
76,38,ANN,0.942028986,0.625,0.333333333,0.5,0.4
77,39,Random Forest,1,0.75,0.5,0.25,0.333333333
