,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
1,1,Lasso,0.461300714,0.168883024,1353.109997,1255.800934,1063.561284,1985.955762
2,1,Ridge,0.431783101,0.106855243,1389.68694,1301.819138,1111.864919,2054.171465
3,1,Log-Linear,0.490024681,-13.88924469,1316.541283,5315.278916,141.9556908,4259.02941
4,1,OLS,0.687142745,-0.332767604,1031.176527,1590.25562,700.3549719,1943.457537
5,1,Quadratic_all,0.900103906,-413.9446459,582.6854264,28059.81529,-12099.1809,10103.56472
6,1,Quadratic_correlated,0.574210891,0.133211931,1202.976593,1282.466967,830.8699112,1824.244508
7,1,Stepwise,0.666200182,-0.201452325,1065.130819,1509.881961,496.9776601,1694.341491
8,1,RandomForest,0.78696144,0.366971357,850.9205496,1095.976913,1112.361591,1902.535773
9,1,Bagging,0.770799999,0.370115796,882.6066811,1093.251505,1114.937216,1902.302613
10,1,ANN,-6.03157379,-35.63786872,4888.618785,8337.864371,-1540.025207,5051.34248
11,2,Lasso,0.407245803,0.537518713,1391.128144,1160.682148,1492.138057,2394.908882
12,2,Ridge,0.391320196,0.483862976,1409.692093,1226.164474,1462.975567,2419.058567
13,2,Log-Linear,0.642830539,-3.744932098,1079.858814,3717.758911,785.1573223,3704.594788
14,2,OLS,0.701742801,-0.459675877,986.7912408,2062.027428,807.5445572,2441.964028
15,2,Quadratic_all,0.838792161,-29.98007209,725.4757445,9499.646273,390.4842533,7697.244048
16,2,Quadratic_correlated,0.532315315,0.29588667,1235.681067,1432.146696,1295.144443,2425.483635
17,2,Stepwise,0.671821124,-0.803255244,1035.106724,2291.895565,928.7323647,2744.498217
18,2,RandomForest,0.752381323,0.73876953,899.1279902,872.324637,1565.62288,2241.290577
19,2,Bagging,0.730786237,0.730251332,937.5154795,886.4329206,1560.028802,2247.135521
20,2,ANN,-6.267670085,-18.81788349,4871.104204,7597.92247,-2611.120909,3319.513114
21,3,Lasso,0.402954054,0.534815088,1378.510254,1214.331864,1521.101628,2481.140148
22,3,Ridge,0.382969559,0.505902095,1401.391308,1251.500672,1481.20964,2472.227248
23,3,Log-Linear,0.483543481,-11.35765423,1282.103265,6258.822,1519.523748,6231.182561
24,3,OLS,0.654641053,0.136517102,1048.434927,1654.441635,2010.966531,3198.323571
25,3,Quadratic_all,0.854286441,-24.81833202,681.0141048,9046.668394,764.5779379,7699.34068
26,3,Quadratic_correlated,0.537600653,0.513163766,1213.150637,1242.270087,1789.879767,2732.713894
27,3,Stepwise,0.638111915,0.165276745,1073.231143,1626.656441,1957.32533,3140.521157
28,3,RandomForest,0.771160716,0.593681638,853.4368968,1134.900546,1758.323027,2628.032543
29,3,Bagging,0.755062281,0.597091773,882.9456254,1130.128034,1737.245607,2607.327786
30,3,ANN,-6.627713915,-23.36452114,4927.235525,8788.272624,-2276.23003,4674.032297
31,4,Lasso,0.461739414,0.403299322,1136.977016,1883.469425,1258.105204,2747.00524
32,4,Ridge,0.398481374,0.334609581,1201.932103,1988.925795,1124.653869,2689.549668
33,4,Log-Linear,0.591144578,-21.36247646,990.9238382,11530.29071,1314.489043,10028.52163
34,4,OLS,0.716189785,0.27373145,825.5994721,2077.920501,1934.721383,3521.128908
35,4,Quadratic_all,0.929720702,-6.579030124,410.8365792,6712.543692,-165.0455043,5154.044112
36,4,Quadratic_correlated,0.599251682,0.248461472,981.0502433,2113.761259,1459.047255,3132.729392
37,4,Stepwise,0.692111501,0.358050899,859.9082757,1953.577328,1936.251209,3430.145636
38,4,RandomForest,0.783929503,0.438517502,720.3658748,1827.041535,1109.456063,2533.498312
