,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
1,1,Lasso,0.405967517,-1.098100547,1411.285609,1545.064724,1335.011142,2485.527119
2,1,Ridge,0.331779493,-0.630009742,1496.820476,1361.847972,1400.22787,2355.213968
3,1,Quantile Regression,0.368543946,-0.508795736,1455.061607,1361.847972,1070.935935,2143.781388
4,1,Log-Linear,0.362425414,-0.279380691,1462.094067,1206.516941,855.2092559,1915.217575
5,1,OLS,0.405986854,-1.108600488,1411.262638,1548.926036,1335.561717,2489.128785
6,1,Stepwise,0.405986854,-1.108600488,1411.262638,1548.926036,1335.561717,2489.128785
7,1,RandomForest,0.378670821,-0.522397712,1443.346789,1316.126367,1368.547317,2301.577249
8,1,Bagging,0.497903691,-0.617459782,1297.487942,1356.595193,943.1653913,2102.742136
9,1,ANN,-5.190110416,-21.70004251,4555.740873,5082.142798,-3089.218599,1321.588559
10,2,Lasso,0.362923307,0.137016237,1394.294149,1573.219432,371.6135361,1750.406808
11,2,Ridge,0.261138238,0.25481343,1501.551188,1461.909537,692.7213086,2038.881542
12,2,Quantile Regression,0.344411608,0.11690282,1414.406274,1461.909537,273.9075231,1629.826852
13,2,Log-Linear,0.257745337,0.29589274,1504.99485,1421.043593,294.9290324,1427.286423
14,2,OLS,0.362938662,0.132605021,1394.277346,1577.23513,367.6729643,1749.655235
15,2,Stepwise,0.362938662,0.132605021,1394.277346,1577.23513,367.6729643,1749.655235
16,2,RandomForest,0.361469586,0.213088861,1395.884037,1502.279829,857.9468465,2258.843029
17,2,Bagging,0.418540341,0.487218297,1332.043296,1212.702436,831.4647358,1945.41258
18,2,ANN,-6.193214758,-11.67581603,4685.112889,6029.425778,-3750.065028,1191.955929
19,3,Lasso,0.321025018,0.338107749,1445.17418,1318.229463,758.6993566,1986.223172
20,3,Ridge,0.243650863,0.256786829,1525.297174,1396.863806,906.4593717,2187.86769
21,3,Quantile Regression,0.293260725,0.357320917,1474.425798,1396.863806,613.4413629,1823.174303
22,3,Log-Linear,0.215448558,0.364116838,1553.474112,1292.069957,389.5665465,1557.369878
23,3,OLS,0.321039322,0.337135041,1445.158957,1319.197734,755.4882161,1984.064769
24,3,Stepwise,0.307404681,0.332464554,1459.597409,1323.837051,811.3112952,2040.096549
25,3,RandomForest,0.353859714,0.22284632,1409.79744,1428.403217,894.6681084,2205.491244
26,3,Bagging,0.433590753,0.385279983,1319.953024,1270.387008,884.226501,2057.698972
27,3,ANN,-5.801698495,-13.86654496,4574.061464,6247.444264,-1595.124512,4232.887865
28,4,Lasso,0.356613115,0.19692988,1221.447539,2039.584546,807.2190752,2624.506029
29,4,Ridge,0.275478544,0.100894887,1296.177095,2158.093282,650.1219585,2547.626796
30,4,Quantile Regression,0.345279199,0.151897941,1232.159093,2158.093282,638.5203002,2456.093203
