"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.988095238095238,0.7,0.4,0.4,0.4
"2",1,"Random Forest",0.988095238095238,0.65,0.333333333333333,0.4,0.363636363636364
"3",1,"ANN",0.952380952380952,0.75,0.5,0.4,0.444444444444444
"4",2,"Logistic",0.904761904761905,0.8,0.571428571428571,0.8,0.666666666666667
"5",2,"Random Forest",1,0.9,0.8,0.8,0.8
"6",2,"ANN",0.94047619047619,0.75,0.5,0.8,0.615384615384615
"7",3,"Logistic",0.892857142857143,0.95,1,0.8,0.888888888888889
"8",3,"Random Forest",0.988095238095238,0.95,1,0.8,0.888888888888889
"9",3,"ANN",0.94047619047619,0.8,0.571428571428571,0.8,0.666666666666667
"10",4,"Logistic",0.869047619047619,0.85,0.666666666666667,0.8,0.727272727272727
"11",4,"Random Forest",1,0.8,0.666666666666667,0.4,0.5
"12",4,"ANN",0.964285714285714,0.8,0.6,0.6,0.6
"13",5,"Logistic",0.880952380952381,0.9,0.8,0.8,0.8
"14",5,"Random Forest",0.988095238095238,0.9,0.714285714285714,1,0.833333333333333
"15",5,"ANN",0.916666666666667,0.8,0.666666666666667,0.4,0.5
"16",6,"Logistic",0.892857142857143,0.9,1,0.6,0.75
"17",6,"Random Forest",1,0.8,0.6,0.6,0.6
"18",6,"ANN",0.952380952380952,0.85,0.75,0.6,0.666666666666667
"19",7,"Logistic",0.892857142857143,0.75,0.5,0.6,0.545454545454545
"20",7,"Random Forest",0.988095238095238,0.8,0.6,0.6,0.6
"21",7,"ANN",0.964285714285714,0.8,0.666666666666667,0.4,0.5
"22",8,"Logistic",0.904761904761905,0.9,1,0.6,0.75
"23",8,"Random Forest",0.988095238095238,0.85,0.75,0.6,0.666666666666667
"24",8,"ANN",0.952380952380952,0.75,0.5,1,0.666666666666667
"25",9,"Logistic",0.916666666666667,0.9,1,0.6,0.75
"26",9,"Random Forest",0.988095238095238,0.9,1,0.6,0.75
"27",9,"ANN",0.952380952380952,0.85,0.75,0.6,0.666666666666667
"28",10,"Logistic",0.952380952380952,0.7,0.428571428571429,0.6,0.5
"29",10,"Random Forest",1,0.7,0.428571428571429,0.6,0.5
"30",10,"ANN",0.988095238095238,0.8,0.6,0.6,0.6
"31",11,"Logistic",0.869047619047619,0.9,0.714285714285714,1,0.833333333333333
"32",11,"Random Forest",0.988095238095238,0.95,0.833333333333333,1,0.909090909090909
"33",11,"ANN",0.964285714285714,0.85,0.75,0.6,0.666666666666667
"34",12,"Logistic",0.94047619047619,0.9,0.8,0.8,0.8
"35",12,"Random Forest",1,0.9,0.8,0.8,0.8
"36",12,"ANN",0.916666666666667,0.8,0.666666666666667,0.4,0.5
"37",13,"Logistic",0.928571428571429,0.85,0.666666666666667,0.8,0.727272727272727
"38",13,"Random Forest",1,0.8,0.6,0.6,0.6
"39",13,"ANN",0.952380952380952,0.75,0.5,0.4,0.444444444444444
"40",14,"Logistic",0.916666666666667,0.75,0.5,0.6,0.545454545454545
"41",14,"Random Forest",0.988095238095238,0.85,0.75,0.6,0.666666666666667
"42",14,"ANN",0.928571428571429,0.65,0.375,0.6,0.461538461538462
"43",15,"Logistic",0.904761904761905,0.85,0.666666666666667,0.8,0.727272727272727
"44",15,"Random Forest",0.988095238095238,0.9,0.8,0.8,0.8
"45",15,"ANN",0.988095238095238,0.75,0.5,0.8,0.615384615384615
"46",16,"Logistic",0.892857142857143,0.85,0.75,0.6,0.666666666666667
"47",16,"Random Forest",1,0.85,0.75,0.6,0.666666666666667
"48",16,"ANN",0.988095238095238,0.55,0.25,0.4,0.307692307692308
"49",17,"Logistic",0.869047619047619,0.95,0.833333333333333,1,0.909090909090909
"50",17,"Random Forest",0.988095238095238,0.95,0.833333333333333,1,0.909090909090909
"51",17,"ANN",0.904761904761905,1,1,1,1
"52",18,"Logistic",0.916666666666667,0.9,1,0.6,0.75
"53",18,"Random Forest",0.988095238095238,0.85,0.75,0.6,0.666666666666667
"54",18,"ANN",0.94047619047619,0.85,0.75,0.6,0.666666666666667
"55",19,"Logistic",0.94047619047619,0.85,0.666666666666667,0.8,0.727272727272727
"56",19,"Random Forest",0.988095238095238,0.85,0.666666666666667,0.8,0.727272727272727
