"feature","mean_abs_effect","sd_effect"
"NBNIR",0.162872,0.197597255664531
"SWIR1",0.04763,0.0681606903781095
"Red",0.047,0.0734275214246273
"SI4",0.044356,0.0594549092665815
"VSSI",0.033166,0.047127799624382
"NBSWIR2",0.031398,0.042182430660291
"SWIR2",0.026246,0.0368887680772401
"Blue",0,0
"Green",0,0
"NBG",0,0
"NBR",0,0
"NBSWIR1",0,0
"NDSI1",0,0
"NDSI2",0,0
"NDVI",0,0
"NDWI",0,0
"NGSWIR1",0,0
"NGSWIR2",0,0
"NIR",0,0
"NNIRSWIR1",0,0
"NNIRSWIR2",0,0
"NRSWIR1",0,0
"NRSWIR2",0,0
"SAVI",0,0
"SI1",0,0
"SI2",0,0
"SI3",0,0
"SI5",0,0
