"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.987951807228916,0.80952380952381,1,0.333333333333333,0.5
"2",1,"Random Forest",1,0.80952380952381,1,0.333333333333333,0.5
"3",1,"ANN",0.987951807228916,0.761904761904762,0.666666666666667,0.333333333333333,0.444444444444444
"4",2,"Logistic",0.951807228915663,0.80952380952381,0.25,0.5,0.333333333333333
"5",2,"Random Forest",1,0.857142857142857,0.333333333333333,0.5,0.4
"6",2,"ANN",0.987951807228916,0.80952380952381,0.25,0.5,0.333333333333333
"7",3,"Logistic",0.939759036144578,0.857142857142857,0.75,0.857142857142857,0.8
"8",3,"Random Forest",1,0.80952380952381,0.666666666666667,0.857142857142857,0.75
"9",3,"ANN",0.975903614457831,0.857142857142857,0.833333333333333,0.714285714285714,0.769230769230769
"10",4,"Logistic",0.91566265060241,1,1,1,1
"11",4,"Random Forest",1,0.952380952380952,0.857142857142857,1,0.923076923076923
"12",4,"ANN",0.975903614457831,0.952380952380952,1,0.833333333333333,0.909090909090909
"13",5,"Logistic",0.951807228915663,0.761904761904762,0.625,0.714285714285714,0.666666666666667
"14",5,"Random Forest",1,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"15",5,"ANN",0.975903614457831,0.857142857142857,0.833333333333333,0.714285714285714,0.769230769230769
"16",6,"Logistic",0.927710843373494,0.952380952380952,0.833333333333333,1,0.909090909090909
"17",6,"Random Forest",1,0.952380952380952,0.833333333333333,1,0.909090909090909
"18",6,"ANN",0.975903614457831,0.857142857142857,0.666666666666667,0.8,0.727272727272727
"19",7,"Logistic",0.927710843373494,0.952380952380952,1,0.75,0.857142857142857
"20",7,"Random Forest",1,0.904761904761905,0.75,0.75,0.75
"21",7,"ANN",0.963855421686747,0.857142857142857,0.6,0.75,0.666666666666667
"22",8,"Logistic",0.939759036144578,0.904761904761905,1,0.666666666666667,0.8
"23",8,"Random Forest",1,0.904761904761905,1,0.666666666666667,0.8
"24",8,"ANN",0.963855421686747,0.857142857142857,0.8,0.666666666666667,0.727272727272727
"25",9,"Logistic",0.91566265060241,0.904761904761905,0.6,1,0.75
"26",9,"Random Forest",1,0.952380952380952,0.75,1,0.857142857142857
"27",9,"ANN",0.975903614457831,0.904761904761905,0.6,1,0.75
"28",10,"Logistic",0.927710843373494,0.857142857142857,0.571428571428571,1,0.727272727272727
"29",10,"Random Forest",1,0.857142857142857,0.571428571428571,1,0.727272727272727
"30",10,"ANN",0.987951807228916,0.80952380952381,0.5,1,0.666666666666667
"31",11,"Logistic",0.91566265060241,0.904761904761905,0.714285714285714,1,0.833333333333333
"32",11,"Random Forest",1,0.952380952380952,1,0.8,0.888888888888889
"33",11,"ANN",0.963855421686747,0.857142857142857,0.75,0.6,0.666666666666667
"34",12,"Logistic",0.91566265060241,1,1,1,1
"35",12,"Random Forest",1,0.952380952380952,0.75,1,0.857142857142857
"36",12,"ANN",0.951807228915663,0.952380952380952,0.75,1,0.857142857142857
"37",13,"Logistic",0.939759036144578,0.904761904761905,0.5,0.5,0.5
"38",13,"Random Forest",1,0.857142857142857,0.333333333333333,0.5,0.4
"39",13,"ANN",0.975903614457831,0.857142857142857,0.333333333333333,0.5,0.4
"40",14,"Logistic",0.939759036144578,0.952380952380952,1,0.857142857142857,0.923076923076923
"41",14,"Random Forest",1,0.904761904761905,1,0.714285714285714,0.833333333333333
"42",14,"ANN",0.987951807228916,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"43",15,"Logistic",0.91566265060241,0.904761904761905,0.714285714285714,1,0.833333333333333
"44",15,"Random Forest",1,1,1,1,1
"45",15,"ANN",0.963855421686747,0.904761904761905,0.8,0.8,0.8
"46",16,"Logistic",0.91566265060241,0.904761904761905,0.714285714285714,1,0.833333333333333
"47",16,"Random Forest",1,0.952380952380952,0.833333333333333,1,0.909090909090909
"48",16,"ANN",0.963855421686747,0.952380952380952,1,0.8,0.888888888888889
"49",17,"Logistic",0.939759036144578,0.80952380952381,0.833333333333333,0.625,0.714285714285714
"50",17,"Random Forest",1,0.80952380952381,0.75,0.75,0.75
"51",17,"ANN",0.987951807228916,0.666666666666667,0.555555555555556,0.625,0.588235294117647
"52",18,"Logistic",0.939759036144578,0.904761904761905,0.75,0.75,0.75
"53",18,"Random Forest",1,0.904761904761905,0.75,0.75,0.75
"54",18,"ANN",1,0.857142857142857,0.666666666666667,0.5,0.571428571428572
"55",19,"Logistic",0.951807228915663,0.904761904761905,1,0.666666666666667,0.8
"56",19,"Random Forest",1,0.904761904761905,1,0.666666666666667,0.8
"57",19,"ANN",0.987951807228916,0.904761904761905,1,0.666666666666667,0.8
"58",20,"Logistic",0.939759036144578,0.80952380952381,0.666666666666667,0.666666666666667,0.666666666666667
