"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.987951807228916,0.761904761904762,0.666666666666667,0.333333333333333,0.444444444444444
"2",1,"Random Forest",1,0.80952380952381,1,0.333333333333333,0.5
"3",1,"ANN",0.987951807228916,0.761904761904762,0.666666666666667,0.333333333333333,0.444444444444444
"4",2,"Logistic",0.951807228915663,0.714285714285714,0.166666666666667,0.5,0.25
"5",2,"Random Forest",1,0.857142857142857,0.333333333333333,0.5,0.4
"6",2,"ANN",0.987951807228916,0.761904761904762,0,0,NA
"7",3,"Logistic",0.939759036144578,0.857142857142857,0.75,0.857142857142857,0.8
"8",3,"Random Forest",1,0.80952380952381,0.666666666666667,0.857142857142857,0.75
"9",3,"ANN",0.951807228915663,0.857142857142857,0.833333333333333,0.714285714285714,0.769230769230769
"10",4,"Logistic",0.927710843373494,1,1,1,1
"11",4,"Random Forest",1,1,1,1,1
"12",4,"ANN",0.987951807228916,0.952380952380952,1,0.833333333333333,0.909090909090909
"13",5,"Logistic",0.927710843373494,0.904761904761905,0.857142857142857,0.857142857142857,0.857142857142857
"14",5,"Random Forest",1,0.857142857142857,0.75,0.857142857142857,0.8
"15",5,"ANN",0.987951807228916,0.80952380952381,0.666666666666667,0.857142857142857,0.75
"16",6,"Logistic",0.939759036144578,0.952380952380952,0.833333333333333,1,0.909090909090909
"17",6,"Random Forest",1,0.952380952380952,0.833333333333333,1,0.909090909090909
"18",6,"ANN",0.939759036144578,0.857142857142857,0.666666666666667,0.8,0.727272727272727
"19",7,"Logistic",0.939759036144578,0.952380952380952,1,0.75,0.857142857142857
"20",7,"Random Forest",1,0.904761904761905,0.75,0.75,0.75
"21",7,"ANN",0.975903614457831,0.857142857142857,0.6,0.75,0.666666666666667
"22",8,"Logistic",0.951807228915663,0.904761904761905,1,0.666666666666667,0.8
"23",8,"Random Forest",1,0.904761904761905,1,0.666666666666667,0.8
"24",8,"ANN",0.975903614457831,0.761904761904762,0.6,0.5,0.545454545454545
"25",9,"Logistic",0.891566265060241,0.952380952380952,0.75,1,0.857142857142857
"26",9,"Random Forest",1,1,1,1,1
"27",9,"ANN",0.987951807228916,0.714285714285714,0.333333333333333,1,0.5
"28",10,"Logistic",0.939759036144578,0.904761904761905,0.666666666666667,1,0.8
"29",10,"Random Forest",1,0.952380952380952,0.8,1,0.888888888888889
"30",10,"ANN",0.975903614457831,0.904761904761905,0.666666666666667,1,0.8
"31",11,"Logistic",0.91566265060241,0.952380952380952,0.833333333333333,1,0.909090909090909
"32",11,"Random Forest",1,0.952380952380952,0.833333333333333,1,0.909090909090909
"33",11,"ANN",0.951807228915663,0.761904761904762,0.5,0.2,0.285714285714286
"34",12,"Logistic",0.927710843373494,1,1,1,1
"35",12,"Random Forest",1,1,1,1,1
"36",12,"ANN",0.987951807228916,0.857142857142857,0.5,1,0.666666666666667
"37",13,"Logistic",0.91566265060241,0.857142857142857,0.333333333333333,0.5,0.4
"38",13,"Random Forest",1,0.952380952380952,1,0.5,0.666666666666667
"39",13,"ANN",0.987951807228916,0.80952380952381,0.25,0.5,0.333333333333333
