"","Iteration","Model_Type","Accuracy_Train","Accuracy_Test","Precision","Recall","F1_Score"
"1",1,"Logistic",0.916666666666667,0.95,0.8,1,0.888888888888889
"2",1,"Random Forest",1,0.9,0.666666666666667,1,0.8
"3",1,"ANN",1,1,1,1,1
"4",2,"Logistic",0.94047619047619,0.75,0.444444444444444,1,0.615384615384615
"5",2,"Random Forest",1,0.95,0.8,1,0.888888888888889
"6",2,"ANN",0.952380952380952,0.85,0.6,0.75,0.666666666666667
"7",3,"Logistic",0.928571428571429,1,1,1,1
"8",3,"Random Forest",1,0.95,0.8,1,0.888888888888889
"9",3,"ANN",0.964285714285714,1,1,1,1
"10",4,"Logistic",0.94047619047619,0.9,0.75,0.75,0.75
"11",4,"Random Forest",1,0.85,0.6,0.75,0.666666666666667
"12",4,"ANN",0.976190476190476,0.9,0.75,0.75,0.75
"13",5,"Logistic",0.916666666666667,0.95,0.8,1,0.888888888888889
"14",5,"Random Forest",1,0.95,0.8,1,0.888888888888889
"15",5,"ANN",0.964285714285714,0.85,0.666666666666667,0.5,0.571428571428572
"16",6,"Logistic",0.94047619047619,0.95,1,0.75,0.857142857142857
"17",6,"Random Forest",1,0.95,1,0.75,0.857142857142857
"18",6,"ANN",0.892857142857143,0.85,0.6,0.75,0.666666666666667
"19",7,"Logistic",0.928571428571429,1,1,1,1
"20",7,"Random Forest",1,1,1,1,1
"21",7,"ANN",0.964285714285714,0.85,0.666666666666667,0.5,0.571428571428572
"22",8,"Logistic",0.916666666666667,0.95,0.8,1,0.888888888888889
"23",8,"Random Forest",1,0.9,0.666666666666667,1,0.8
"24",8,"ANN",0.976190476190476,0.9,0.75,0.75,0.75
"25",9,"Logistic",0.952380952380952,0.9,1,0.5,0.666666666666667
"26",9,"Random Forest",1,0.85,0.666666666666667,0.5,0.571428571428572
"27",9,"ANN",0.976190476190476,0.85,1,0.25,0.4
"28",10,"Logistic",0.952380952380952,0.9,0.75,0.75,0.75
"29",10,"Random Forest",1,0.9,0.75,0.75,0.75
"30",10,"ANN",1,0.75,0.4,0.5,0.444444444444444
"31",11,"Logistic",0.94047619047619,0.85,0.6,0.75,0.666666666666667
"32",11,"Random Forest",1,0.95,1,0.75,0.857142857142857
"33",11,"ANN",0.964285714285714,0.9,0.75,0.75,0.75
"34",12,"Logistic",0.94047619047619,0.8,0.5,0.75,0.6
"35",12,"Random Forest",1,0.9,0.75,0.75,0.75
"36",12,"ANN",0.988095238095238,0.8,0.5,0.75,0.6
"37",13,"Logistic",0.94047619047619,0.9,0.75,0.75,0.75
"38",13,"Random Forest",1,0.9,0.75,0.75,0.75
"39",13,"ANN",0.988095238095238,0.9,0.75,0.75,0.75
"40",14,"Logistic",0.928571428571429,1,1,1,1
"41",14,"Random Forest",1,1,1,1,1
"42",14,"ANN",0.94047619047619,0.8,0.5,1,0.666666666666667
"43",15,"Logistic",0.928571428571429,0.9,0.666666666666667,1,0.8
"44",15,"Random Forest",1,0.95,0.8,1,0.888888888888889
"45",15,"ANN",0.988095238095238,0.9,0.666666666666667,1,0.8
"46",16,"Logistic",0.94047619047619,0.85,1,0.25,0.4
"47",16,"Random Forest",1,0.85,0.666666666666667,0.5,0.571428571428572
"48",16,"ANN",0.964285714285714,0.8,0.5,0.25,0.333333333333333
"49",17,"Logistic",0.928571428571429,1,1,1,1
"50",17,"Random Forest",1,0.95,0.8,1,0.888888888888889
"51",17,"ANN",0.964285714285714,0.8,0.5,0.5,0.5
"52",18,"Logistic",0.928571428571429,0.9,1,0.5,0.666666666666667
"53",18,"Random Forest",1,0.9,1,0.5,0.666666666666667
